niveau_id;enseignement_id;statut
6E;FRA;OBLIGATOIRE
6E;MAT;OBLIGATOIRE
6E;HG_EMC;OBLIGATOIRE
6E;EPS;OBLIGATOIRE
6E;ARTS_PLAST;OBLIGATOIRE
6E;MUS;OBLIGATOIRE
5E;FRA;OBLIGATOIRE
5E;MAT;OBLIGATOIRE
5E;HG_EMC;OBLIGATOIRE
5E;EPS;OBLIGATOIRE
5E;ARTS_PLAST;OBLIGATOIRE
5E;MUS;OBLIGATOIRE
4E;FRA;OBLIGATOIRE
4E;MAT;OBLIGATOIRE
4E;HG_EMC;OBLIGATOIRE
4E;EPS;OBLIGATOIRE
4E;ARTS_PLAST;OBLIGATOIRE
4E;MUS;OBLIGATOIRE
3E;FRA;OBLIGATOIRE
3E;MAT;OBLIGATOIRE
3E;HG_EMC;OBLIGATOIRE
3E;EPS;OBLIGATOIRE
3E;ARTS_PLAST;OBLIGATOIRE
3E;MUS;OBLIGATOIRE
6E;LVE;OBLIGATOIRE
6E;SCI_6E;OBLIGATOIRE
5E;LVE1;OBLIGATOIRE
5E;LVE2;OBLIGATOIRE
5E;SVT;OBLIGATOIRE
5E;PC;OBLIGATOIRE
5E;TECH;OBLIGATOIRE
4E;LVE1;OBLIGATOIRE
4E;LVE2;OBLIGATOIRE
4E;SVT;OBLIGATOIRE
4E;PC;OBLIGATOIRE
4E;TECH;OBLIGATOIRE
3E;LVE1;OBLIGATOIRE
3E;LVE2;OBLIGATOIRE
3E;SVT;OBLIGATOIRE
3E;PC;OBLIGATOIRE
3E;TECH;OBLIGATOIRE
