horaire_id;niveau_id;enseignement_id;volume;unite;statut;source_id;version_id;serie_id;portee
HOR0001;6E;EPS;4.0;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0002;6E;ARTS_PLAST;1.0;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0003;6E;MUS;1.0;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0004;6E;FRA;4.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0005;6E;HG_EMC;3.0;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0006;6E;LVE;4.0;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0007;6E;MAT;4.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0008;6E;SCI_6E;3.0;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0009;5E;EPS;3.0;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0010;5E;ARTS_PLAST;1.0;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0011;5E;MUS;1.0;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0012;5E;FRA;4.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0013;5E;HG_EMC;3.0;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0014;5E;LVE1;3.0;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0015;5E;LVE2;2.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
HOR0016;5E;MAT;3.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_COLLEGE_2026;2026_2027;;COMMUN
