offre_id;niveau_id;serie_id;enseignement_id;statut;version_id
OFF_2GT_FRA;2GT;;FRA;OBLIGATOIRE;2026_2027
OFF_2GT_HG_LYCEE;2GT;;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_2GT_LVA_LVB;2GT;;LVA_LVB;OBLIGATOIRE;2026_2027
OFF_2GT_SES;2GT;;SES;OBLIGATOIRE;2026_2027
OFF_2GT_MATH_2GT;2GT;;MATH_2GT;OBLIGATOIRE;2026_2027
OFF_2GT_PC_LYCEE;2GT;;PC_LYCEE;OBLIGATOIRE;2026_2027
OFF_2GT_SVT_LYCEE;2GT;;SVT_LYCEE;OBLIGATOIRE;2026_2027
OFF_2GT_EPS;2GT;;EPS;OBLIGATOIRE;2026_2027
OFF_2GT_EMC_LYCEE;2GT;;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_2GT_SNT;2GT;;SNT;OBLIGATOIRE;2026_2027
OFF_1G_FRA;1G;G;FRA;OBLIGATOIRE;2026_2027
OFF_1G_HG_LYCEE;1G;G;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_1G_LVA_LVB;1G;G;LVA_LVB;OBLIGATOIRE;2026_2027
OFF_1G_EPS;1G;G;EPS;OBLIGATOIRE;2026_2027
OFF_1G_ENS_SCI;1G;G;ENS_SCI;OBLIGATOIRE;2026_2027
OFF_1G_EMC_LYCEE;1G;G;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_TG_PHILO;TG;G;PHILO;OBLIGATOIRE;2027_2028
OFF_TG_HG_LYCEE;TG;G;HG_LYCEE;OBLIGATOIRE;2027_2028
OFF_TG_LVA_LVB;TG;G;LVA_LVB;OBLIGATOIRE;2027_2028
OFF_TG_ENS_SCI;TG;G;ENS_SCI;OBLIGATOIRE;2027_2028
OFF_TG_EPS;TG;G;EPS;OBLIGATOIRE;2027_2028
OFF_TG_EMC_LYCEE;TG;G;EMC_LYCEE;OBLIGATOIRE;2027_2028
OFF_1G_ARTS_SPEC;1G;G;ARTS_SPEC;SPECIALITE;2026_2027
OFF_TG_ARTS_SPEC;TG;G;ARTS_SPEC;SPECIALITE;2027_2028
OFF_1G_EPPCS;1G;G;EPPCS;SPECIALITE;2026_2027
OFF_TG_EPPCS;TG;G;EPPCS;SPECIALITE;2027_2028
OFF_1G_HGGSP;1G;G;HGGSP;SPECIALITE;2026_2027
OFF_TG_HGGSP;TG;G;HGGSP;SPECIALITE;2027_2028
OFF_1G_HLP;1G;G;HLP;SPECIALITE;2026_2027
OFF_TG_HLP;TG;G;HLP;SPECIALITE;2027_2028
OFF_1G_LLCER;1G;G;LLCER;SPECIALITE;2026_2027
OFF_TG_LLCER;TG;G;LLCER;SPECIALITE;2027_2028
OFF_1G_LLCA;1G;G;LLCA;SPECIALITE;2026_2027
OFF_TG_LLCA;TG;G;LLCA;SPECIALITE;2027_2028
OFF_1G_MATH_SPEC;1G;G;MATH_SPEC;SPECIALITE;2026_2027
OFF_TG_MATH_SPEC;TG;G;MATH_SPEC;SPECIALITE;2027_2028
OFF_1G_NSI;1G;G;NSI;SPECIALITE;2026_2027
OFF_TG_NSI;TG;G;NSI;SPECIALITE;2027_2028
OFF_1G_PC_SPEC;1G;G;PC_SPEC;SPECIALITE;2026_2027
OFF_TG_PC_SPEC;TG;G;PC_SPEC;SPECIALITE;2027_2028
OFF_1G_SVT_SPEC;1G;G;SVT_SPEC;SPECIALITE;2026_2027
OFF_TG_SVT_SPEC;TG;G;SVT_SPEC;SPECIALITE;2027_2028
OFF_1G_SI;1G;G;SI;SPECIALITE;2026_2027
OFF_TG_SI;TG;G;SI;SPECIALITE;2027_2028
OFF_1G_SES_SPEC;1G;G;SES_SPEC;SPECIALITE;2026_2027
OFF_TG_SES_SPEC;TG;G;SES_SPEC;SPECIALITE;2027_2028
OFF_1G_BIO_ECO;1G;G;BIO_ECO;SPECIALITE;2026_2027
OFF_TG_BIO_ECO;TG;G;BIO_ECO;SPECIALITE;2027_2028
OFF_1T_ST2S_FRA;1T;ST2S;FRA;OBLIGATOIRE;2026_2027
OFF_1T_ST2S_HG_LYCEE;1T;ST2S;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_1T_ST2S_LVA_LVB_TECH;1T;ST2S;LVA_LVB_TECH;OBLIGATOIRE;2026_2027
OFF_1T_ST2S_EPS;1T;ST2S;EPS;OBLIGATOIRE;2026_2027
OFF_1T_ST2S_MATH_SPEC_TECH;1T;ST2S;MATH_SPEC_TECH;OBLIGATOIRE;2026_2027
OFF_1T_ST2S_EMC_LYCEE;1T;ST2S;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_ST2S_PHILO;TT;ST2S;PHILO;OBLIGATOIRE;2027_2028
OFF_TT_ST2S_HG_LYCEE;TT;ST2S;HG_LYCEE;OBLIGATOIRE;2027_2028
OFF_TT_ST2S_LVA_LVB_TECH;TT;ST2S;LVA_LVB_TECH;OBLIGATOIRE;2027_2028
OFF_TT_ST2S_EPS;TT;ST2S;EPS;OBLIGATOIRE;2027_2028
OFF_TT_ST2S_MATH_SPEC_TECH;TT;ST2S;MATH_SPEC_TECH;OBLIGATOIRE;2027_2028
OFF_TT_ST2S_EMC_LYCEE;TT;ST2S;EMC_LYCEE;OBLIGATOIRE;2027_2028
OFF_1T_STL_FRA;1T;STL;FRA;OBLIGATOIRE;2026_2027
OFF_1T_STL_HG_LYCEE;1T;STL;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_1T_STL_LVA_LVB_TECH;1T;STL;LVA_LVB_TECH;OBLIGATOIRE;2026_2027
OFF_1T_STL_EPS;1T;STL;EPS;OBLIGATOIRE;2026_2027
OFF_1T_STL_MATH_SPEC_TECH;1T;STL;MATH_SPEC_TECH;OBLIGATOIRE;2026_2027
OFF_1T_STL_EMC_LYCEE;1T;STL;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_STL_PHILO;TT;STL;PHILO;OBLIGATOIRE;2027_2028
OFF_TT_STL_HG_LYCEE;TT;STL;HG_LYCEE;OBLIGATOIRE;2027_2028
OFF_TT_STL_LVA_LVB_TECH;TT;STL;LVA_LVB_TECH;OBLIGATOIRE;2027_2028
OFF_TT_STL_EPS;TT;STL;EPS;OBLIGATOIRE;2027_2028
OFF_TT_STL_MATH_SPEC_TECH;TT;STL;MATH_SPEC_TECH;OBLIGATOIRE;2027_2028
OFF_TT_STL_EMC_LYCEE;TT;STL;EMC_LYCEE;OBLIGATOIRE;2027_2028
OFF_1T_STD2A_FRA;1T;STD2A;FRA;OBLIGATOIRE;2026_2027
OFF_1T_STD2A_HG_LYCEE;1T;STD2A;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_1T_STD2A_LVA_LVB_TECH;1T;STD2A;LVA_LVB_TECH;OBLIGATOIRE;2026_2027
OFF_1T_STD2A_EPS;1T;STD2A;EPS;OBLIGATOIRE;2026_2027
OFF_1T_STD2A_MATH_SPEC_TECH;1T;STD2A;MATH_SPEC_TECH;OBLIGATOIRE;2026_2027
OFF_1T_STD2A_EMC_LYCEE;1T;STD2A;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_STD2A_PHILO;TT;STD2A;PHILO;OBLIGATOIRE;2027_2028
OFF_TT_STD2A_HG_LYCEE;TT;STD2A;HG_LYCEE;OBLIGATOIRE;2027_2028
OFF_TT_STD2A_LVA_LVB_TECH;TT;STD2A;LVA_LVB_TECH;OBLIGATOIRE;2027_2028
OFF_TT_STD2A_EPS;TT;STD2A;EPS;OBLIGATOIRE;2027_2028
OFF_TT_STD2A_MATH_SPEC_TECH;TT;STD2A;MATH_SPEC_TECH;OBLIGATOIRE;2027_2028
OFF_TT_STD2A_EMC_LYCEE;TT;STD2A;EMC_LYCEE;OBLIGATOIRE;2027_2028
OFF_1T_STI2D_FRA;1T;STI2D;FRA;OBLIGATOIRE;2026_2027
OFF_1T_STI2D_HG_LYCEE;1T;STI2D;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_1T_STI2D_LVA_LVB_TECH;1T;STI2D;LVA_LVB_TECH;OBLIGATOIRE;2026_2027
OFF_1T_STI2D_EPS;1T;STI2D;EPS;OBLIGATOIRE;2026_2027
OFF_1T_STI2D_MATH_SPEC_TECH;1T;STI2D;MATH_SPEC_TECH;OBLIGATOIRE;2026_2027
OFF_1T_STI2D_EMC_LYCEE;1T;STI2D;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_STI2D_PHILO;TT;STI2D;PHILO;OBLIGATOIRE;2027_2028
OFF_TT_STI2D_HG_LYCEE;TT;STI2D;HG_LYCEE;OBLIGATOIRE;2027_2028
OFF_TT_STI2D_LVA_LVB_TECH;TT;STI2D;LVA_LVB_TECH;OBLIGATOIRE;2027_2028
OFF_TT_STI2D_EPS;TT;STI2D;EPS;OBLIGATOIRE;2027_2028
OFF_TT_STI2D_MATH_SPEC_TECH;TT;STI2D;MATH_SPEC_TECH;OBLIGATOIRE;2027_2028
OFF_TT_STI2D_EMC_LYCEE;TT;STI2D;EMC_LYCEE;OBLIGATOIRE;2027_2028
OFF_1T_STMG_FRA;1T;STMG;FRA;OBLIGATOIRE;2026_2027
OFF_1T_STMG_HG_LYCEE;1T;STMG;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_1T_STMG_LVA_LVB_TECH;1T;STMG;LVA_LVB_TECH;OBLIGATOIRE;2026_2027
OFF_1T_STMG_EPS;1T;STMG;EPS;OBLIGATOIRE;2026_2027
OFF_1T_STMG_MATH_SPEC_TECH;1T;STMG;MATH_SPEC_TECH;OBLIGATOIRE;2026_2027
OFF_1T_STMG_EMC_LYCEE;1T;STMG;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_STMG_PHILO;TT;STMG;PHILO;OBLIGATOIRE;2027_2028
OFF_TT_STMG_HG_LYCEE;TT;STMG;HG_LYCEE;OBLIGATOIRE;2027_2028
OFF_TT_STMG_LVA_LVB_TECH;TT;STMG;LVA_LVB_TECH;OBLIGATOIRE;2027_2028
OFF_TT_STMG_EPS;TT;STMG;EPS;OBLIGATOIRE;2027_2028
OFF_TT_STMG_MATH_SPEC_TECH;TT;STMG;MATH_SPEC_TECH;OBLIGATOIRE;2027_2028
OFF_TT_STMG_EMC_LYCEE;TT;STMG;EMC_LYCEE;OBLIGATOIRE;2027_2028
OFF_1T_S2TMD_FRA;1T;S2TMD;FRA;OBLIGATOIRE;2026_2027
OFF_1T_S2TMD_HG_LYCEE;1T;S2TMD;HG_LYCEE;OBLIGATOIRE;2026_2027
OFF_1T_S2TMD_LVA_LVB_TECH;1T;S2TMD;LVA_LVB_TECH;OBLIGATOIRE;2026_2027
OFF_1T_S2TMD_EPS;1T;S2TMD;EPS;OBLIGATOIRE;2026_2027
OFF_1T_S2TMD_MATH_SPEC_TECH;1T;S2TMD;MATH_SPEC_TECH;OBLIGATOIRE;2026_2027
OFF_1T_S2TMD_EMC_LYCEE;1T;S2TMD;EMC_LYCEE;OBLIGATOIRE;2026_2027
OFF_TT_S2TMD_PHILO;TT;S2TMD;PHILO;OBLIGATOIRE;2027_2028
OFF_TT_S2TMD_HG_LYCEE;TT;S2TMD;HG_LYCEE;OBLIGATOIRE;2027_2028
OFF_TT_S2TMD_LVA_LVB_TECH;TT;S2TMD;LVA_LVB_TECH;OBLIGATOIRE;2027_2028
OFF_TT_S2TMD_EPS;TT;S2TMD;EPS;OBLIGATOIRE;2027_2028
