option_id;niveau_id;enseignement_id;unite;volume;libelle;source_id
OPT_LVE2_BILANGUE;6E;LVE2_BILANGUE;HEURE_SEMAINE;;Enseignement facultatif dans le cadre des classes bilangues;SRC_EDUSCOL_COLLEGE_2026
OPT_LCE;5E;LCE;HEURE_SEMAINE;2.0;Langues et cultures européennes;SRC_EDUSCOL_COLLEGE_2026
OPT_LCE;4E;LCE;HEURE_SEMAINE;2.0;Langues et cultures européennes;SRC_EDUSCOL_COLLEGE_2026
OPT_LCE;3E;LCE;HEURE_SEMAINE;2.0;Langues et cultures européennes;SRC_EDUSCOL_COLLEGE_2026
OPT_LCA;5E;LCA;HEURE_SEMAINE;1.0;Langues et cultures de l'Antiquité;SRC_EDUSCOL_COLLEGE_2026
OPT_LCA;4E;LCA;HEURE_SEMAINE;3.0;Langues et cultures de l'Antiquité;SRC_EDUSCOL_COLLEGE_2026
OPT_LCA;3E;LCA;HEURE_SEMAINE;3.0;Langues et cultures de l'Antiquité;SRC_EDUSCOL_COLLEGE_2026
OPT_LCR;5E;LCR;HEURE_SEMAINE;2.0;Langues et cultures régionales;SRC_EDUSCOL_COLLEGE_2026
OPT_LCR;4E;LCR;HEURE_SEMAINE;2.0;Langues et cultures régionales;SRC_EDUSCOL_COLLEGE_2026
OPT_LCR;3E;LCR;HEURE_SEMAINE;2.0;Langues et cultures régionales;SRC_EDUSCOL_COLLEGE_2026
OPT_CHANT;5E;CHANT_CHORAL;HEURE_ANNEE;72.0;Chant choral;SRC_EDUSCOL_COLLEGE_2026
OPT_CHANT;4E;CHANT_CHORAL;HEURE_ANNEE;72.0;Chant choral;SRC_EDUSCOL_COLLEGE_2026
OPT_CHANT;3E;CHANT_CHORAL;HEURE_ANNEE;72.0;Chant choral;SRC_EDUSCOL_COLLEGE_2026
