gabarit_compose_id;examen_code;partie_type;libelle;domaine;support;difficulte;generateur_id;objectif;origine;source_id;session_source;statut
GABC_DNB_GEOM_AMENAGEMENT;DNB;PROBLEMES;Amenagement geometrique;GEOMETRIE;FIGURE_GEOMETRIQUE;2;compose_geom_amenagement;Relier Pythagore, aire et proportionnalite dans une situation d amenagement;EDUSCHOOL;SRC_EDUSCOL_DNB_MATH_2026;2026;ACTIF
GABC_DNB_FONC_TARIFS;DNB;PROBLEMES;Comparaison de deux tarifs;FONCTIONS;GRAPHIQUE_OU_TABLEAU;2;compose_fonc_tarifs;Relier fonctions affines, lecture graphique et equation dans une comparaison de modeles;EDUSCHOOL;SRC_EDUSCOL_DNB_MATH_2026;2026;ACTIF
GABC_DNB_DATA_ENQUETE;DNB;PROBLEMES;Enquete et donnees;STATISTIQUES;TABLEAU_DIAGRAMME;2;compose_data_enquete;Relier statistiques, pourcentages et probabilites dans une enquete;EDUSCHOOL;SRC_EDUSCOL_DNB_MATH_2026;2026;ACTIF
GABC_DNB_ALGO_PROGRAMME;DNB;PROBLEMES;Programme de calcul et Scratch;ALGORITHMIQUE;SCRATCH;2;compose_algo_programme;Relier programme de calcul, Scratch, calcul litteral et equation;EDUSCHOOL;SRC_MEN_DNB_MATH_2026_SUJET;2026;ACTIF
GABC_DNB_GEOM_THALES;DNB;PROBLEMES;Hauteur par ombres et Thales;GEOMETRIE;FIGURE_GEOMETRIQUE;2;compose_geom_thales;Relier triangles semblables, Thales et proportionnalite dans une mesure indirecte;EDUSCHOOL;SRC_EDUSCOL_DNB_MATH_2026;2026;ACTIF
GABC_DNB_GRAND_CUVE;DNB;PROBLEMES;Cuve, volume et debit;GRANDEURS;SCHEMA;2;compose_grand_cuve;Relier volume, conversion, pourcentage et proportionnalite dans une situation de cuve;EDUSCHOOL;SRC_EDUSCOL_DNB_MATH_2026;2026;ACTIF
GABC_DNB_ARITH_LOTS;DNB;PROBLEMES;Repartition de jetons;ARITHMETIQUE;TEXTE;2;compose_arith_lots;Relier divisibilite, facteurs premiers et probabilite dans une repartition;EDUSCHOOL;SRC_EDUSCOL_DNB_MATH_2026;2026;ACTIF
GABC_DNB_EVOLUTION_PRIX;DNB;PROBLEMES;Evolutions successives d un prix;FONCTIONS;TEXTE;2;compose_evolution_prix;Relier pourcentages et coefficients multiplicateurs dans des evolutions successives;EDUSCHOOL;SRC_EDUSCOL_DNB_MATH_2026;2026;ACTIF
GABC_DNB_GRAND_COUVERTURE;DNB;PROBLEMES;Surface, rendement et cout;GRANDEURS;TEXTE;2;compose_grand_couverture;Relier aire, rendement de couverture, arrondi entier et cout dans une situation d amenagement;EDUSCHOOL;SRC_EDUSCOL_DNB_MATH_2026;2026;ACTIF
GABC_DNB_GRAND_VITESSE;DNB;PROBLEMES;Vitesse, distance et duree;GRANDEURS;TEXTE;2;compose_grand_vitesse;Relier duree, vitesse et distance dans un deplacement a vitesse constante;EDUSCHOOL;SRC_EDUSCOL_DNB_MATH_2026;2026;ACTIF
GABC_DNB_GRAND_ECHELLE;DNB;PROBLEMES;Echelle et distances;GRANDEURS;TEXTE;2;compose_grand_echelle;Relier echelle, longueurs representees et conversions de distances;EDUSCHOOL;SRC_EDUSCOL_DNB_MATH_2026;2026;ACTIF
GABC_DNB_GRAND_VOLUME_COUT;DNB;PROBLEMES;Volume, conversion et cout;GRANDEURS;TEXTE;2;compose_grand_volume_cout;Relier volume, conversion en litres et cout unitaire;EDUSCHOOL;SRC_EDUSCOL_DNB_MATH_2026;2026;ACTIF
GABC_DNB_PROP_RECETTE;DNB;PROBLEMES;Recette et proportionnalite;GRANDEURS;TEXTE;2;compose_prop_recette;Adapter des quantites a un nombre de personnes par proportionnalite;EDUSCHOOL;SRC_EDUSCOL_DNB_MATH_2026;2026;ACTIF
GABC_DNB_PCT_EFFECTIF_PROBA;DNB;PROBLEMES;Pourcentages, effectifs et probabilite;PROBABILITES;TEXTE;2;compose_pct_effectif_proba;Calculer des effectifs successifs puis une probabilite a partir de pourcentages;EDUSCHOOL;SRC_EDUSCOL_DNB_MATH_2026;2026;ACTIF
GABC_DNB_GEOM_PYTH_TRIGO;DNB;PROBLEMES;Pythagore et trigonometrie;GEOMETRIE;TEXTE;2;compose_geom_pyth_trigo;Relier Pythagore, cosinus et interpretation d un angle dans un triangle rectangle;EDUSCHOOL;SRC_EDUSCOL_DNB_MATH_2026;2026;ACTIF
