gabarit_id;concept_id;role
GAB_DNB_AUT_FRACTION_SOMME;MATC_FRACTION;CENTRAL
GAB_DNB_AUT_FRACTION_QUANTITE;MATC_FRACTION;CENTRAL
GAB_DNB_AUT_POURCENTAGE;MATC_POURCENTAGE;CENTRAL
GAB_DNB_AUT_PRIORITES;MATC_PRIORITES;CENTRAL
GAB_DNB_AUT_EQUATION;MATC_EQUATION_PREMIER_DEGRE;CENTRAL
GAB_DNB_AUT_MEDIANE;MATC_MEDIANE;CENTRAL
GAB_DNB_AUT_DIVISIBILITE;MATC_NOMBRE_PREMIER;ASSOCIE
GAB_DNB_AUT_PUISSANCES;MATC_PUISSANCE_DIX;CENTRAL
GAB_DNB_AUT_PROPORTION;MATC_PROPORTIONNALITE;CENTRAL
GAB_DNB_AUT_ANGLE_TRIANGLE;MATC_ANGLE;CENTRAL
GAB_DNB_AUT_PROBA_URNE;MATC_PROBABILITE;CENTRAL
GAB_DNB_AUT_AIRE_RECTANGLE;MATC_AIRE;CENTRAL
GAB_DNB_AUT_SCRATCH_BOUCLE;MATC_BOUCLE;CENTRAL
GAB_DNB_AUT_SCRATCH_BOUCLE;MATC_VARIABLE;ASSOCIE
