gabarit_compose_id;question_id;ordre;libelle;concept_id;question_parent_id;points;competence
GABC_DNB_GEOM_AMENAGEMENT;Q1;1;"Justifier une longueur avec Pythagore";MATC_PYTHAGORE;;1;RAISONNER
GABC_DNB_GEOM_AMENAGEMENT;Q2;2;"Calculer une aire";MATC_AIRE;Q1;1;CALCULER
GABC_DNB_GEOM_AMENAGEMENT;Q3;3;"Exploiter une proportion pour une quantite";MATC_PROPORTIONNALITE;Q2;1.5;MODELISER
GABC_DNB_FONC_TARIFS;Q1;1;"Calculer l image pour un tarif";MATC_FONCTION_AFFINE;;0.5;CALCULER
GABC_DNB_FONC_TARIFS;Q2;2;"Lire et interpreter un graphique";MATC_FONCTION_AFFINE;;1;REPRESENTER
GABC_DNB_FONC_TARIFS;Q3;3;"Resoudre l egalite des deux tarifs";MATC_EQUATION_PREMIER_DEGRE;Q2;1;RAISONNER
GABC_DNB_FONC_TARIFS;Q4;4;"Choisir le modele adapte";MATC_FONCTION_AFFINE;Q3;1;COMMUNIQUER
GABC_DNB_DATA_ENQUETE;Q1;1;"Determiner un indicateur statistique";MATC_MEDIANE;;1;CALCULER
GABC_DNB_DATA_ENQUETE;Q2;2;"Calculer un pourcentage";MATC_POURCENTAGE;;1;CALCULER
GABC_DNB_DATA_ENQUETE;Q3;3;"Calculer une probabilite a partir des donnees";MATC_PROBABILITE;Q2;1;MODELISER
GABC_DNB_DATA_ENQUETE;Q4;4;"Interpreter le resultat dans le contexte";MATC_PROBABILITE;Q3;0.5;COMMUNIQUER
GABC_DNB_ALGO_PROGRAMME;Q1;1;"Executer un programme de calcul";MATC_VARIABLE;;0.5;CALCULER
GABC_DNB_ALGO_PROGRAMME;Q2;2;"Traduire le programme par une expression";MATC_EXPRESSION_LITTERALE;Q1;1;MODELISER
GABC_DNB_ALGO_PROGRAMME;Q3;3;"Completer ou lire le programme Scratch";MATC_BOUCLE;;1;REPRESENTER
GABC_DNB_ALGO_PROGRAMME;Q4;4;"Resoudre une equation associee";MATC_EQUATION_PREMIER_DEGRE;Q2;1;RAISONNER
GABC_DNB_GEOM_THALES;Q1;1;"Identifier des triangles semblables";MATC_TRIANGLES_SEMBLABLES;;1;RAISONNER
GABC_DNB_GEOM_THALES;Q2;2;"Calculer une hauteur par Thales";MATC_THALES;Q1;1.5;CALCULER
GABC_DNB_GEOM_THALES;Q3;3;"Verifier une egalite de rapports";MATC_PROPORTIONNALITE;Q2;1;RAISONNER
GABC_DNB_GRAND_CUVE;Q1;1;"Calculer et convertir un volume";MATC_VOLUME;;1;CALCULER
GABC_DNB_GRAND_CUVE;Q2;2;"Calculer une proportion d un volume";MATC_POURCENTAGE;Q1;1;CALCULER
GABC_DNB_GRAND_CUVE;Q3;3;"Determiner une duree avec un debit constant";MATC_PROPORTIONNALITE;Q2;1.5;MODELISER
GABC_DNB_ARITH_LOTS;Q1;1;"Verifier une repartition exacte";MATC_FACTEURS_PREMIERS;;1;RAISONNER
GABC_DNB_ARITH_LOTS;Q2;2;"Decomposer en facteurs premiers";MATC_FACTEURS_PREMIERS;Q1;1.5;CALCULER
GABC_DNB_ARITH_LOTS;Q3;3;"Calculer une probabilite simple";MATC_PROBABILITE;;1;MODELISER
GABC_DNB_EVOLUTION_PRIX;Q1;1;"Calculer une augmentation en pourcentage";MATC_POURCENTAGE;;1;CALCULER
GABC_DNB_EVOLUTION_PRIX;Q2;2;"Calculer une remise sur le nouveau prix";MATC_POURCENTAGE;Q1;1;CALCULER
GABC_DNB_EVOLUTION_PRIX;Q3;3;"Composer des coefficients multiplicateurs";MATC_COEFFICIENT_MULTIPLICATEUR;Q2;1.5;RAISONNER
GABC_DNB_GRAND_COUVERTURE;Q1;1;"Calculer une aire rectangulaire";MATC_AIRE;;1;CALCULER
GABC_DNB_GRAND_COUVERTURE;Q2;2;"Determiner une quantite minimale avec un rendement";MATC_PROPORTIONNALITE;Q1;1.5;MODELISER
GABC_DNB_GRAND_COUVERTURE;Q3;3;"Calculer le cout d une quantite entiere";MATC_PROPORTIONNALITE;Q2;1;CALCULER
GABC_DNB_GRAND_VITESSE;Q1;1;"Convertir une duree";MATC_GRANDEUR_COMPOSEE;;0.5;CALCULER
GABC_DNB_GRAND_VITESSE;Q2;2;"Calculer une distance avec une vitesse";MATC_GRANDEUR_COMPOSEE;Q1;1.5;MODELISER
GABC_DNB_GRAND_VITESSE;Q3;3;"Determiner une duree a vitesse constante";MATC_PROPORTIONNALITE;Q2;1.5;RAISONNER
GABC_DNB_GRAND_ECHELLE;Q1;1;"Calculer une distance reelle avec une echelle";MATC_ECHELLE;;1.5;MODELISER
GABC_DNB_GRAND_ECHELLE;Q2;2;"Convertir une distance";MATC_LONGUEUR;Q1;0.5;CALCULER
GABC_DNB_GRAND_ECHELLE;Q3;3;"Calculer une longueur sur le document";MATC_ECHELLE;Q2;1.5;RAISONNER
GABC_DNB_GRAND_VOLUME_COUT;Q1;1;"Calculer un volume de pave droit";MATC_VOLUME;;1;CALCULER
GABC_DNB_GRAND_VOLUME_COUT;Q2;2;"Convertir un volume en litres";MATC_VOLUME;Q1;1;CALCULER
GABC_DNB_GRAND_VOLUME_COUT;Q3;3;"Calculer un cout a partir du volume";MATC_PROPORTIONNALITE;Q2;1.5;MODELISER
GABC_DNB_PROP_RECETTE;Q1;1;"Determiner un coefficient de proportionnalite";MATC_PROPORTIONNALITE;;1;RAISONNER
GABC_DNB_PROP_RECETTE;Q2;2;"Adapter une premiere quantite";MATC_PROPORTIONNALITE;Q1;1.25;CALCULER
GABC_DNB_PROP_RECETTE;Q3;3;"Adapter une seconde quantite";MATC_PROPORTIONNALITE;Q1;1.25;CALCULER
GABC_DNB_PCT_EFFECTIF_PROBA;Q1;1;"Calculer un effectif a partir d un pourcentage";MATC_POURCENTAGE;;1;CALCULER
GABC_DNB_PCT_EFFECTIF_PROBA;Q2;2;"Calculer un sous-effectif par pourcentage";MATC_POURCENTAGE;Q1;1;CALCULER
GABC_DNB_PCT_EFFECTIF_PROBA;Q3;3;"Calculer une probabilite sur la population";MATC_PROBABILITE;Q2;1.5;MODELISER
GABC_DNB_GEOM_PYTH_TRIGO;Q1;1;"Calculer une longueur avec Pythagore";MATC_PYTHAGORE;;1.5;RAISONNER
GABC_DNB_GEOM_PYTH_TRIGO;Q2;2;"Calculer un angle avec le cosinus";MATC_COSINUS;Q1;1.5;CALCULER
GABC_DNB_GEOM_PYTH_TRIGO;Q3;3;"Interpreter la valeur de l angle";MATC_COSINUS;Q2;0.5;COMMUNIQUER
