profil_id;concept_id;role
DNB26_A_NOMBRES;MATC_FRACTION;CENTRAL
DNB26_A_NOMBRES;MATC_POURCENTAGE;ASSOCIE
DNB26_A_NOMBRES;MATC_PUISSANCE;ASSOCIE
DNB26_A_ALGEBRE;MATC_EQUATION_PREMIER_DEGRE;CENTRAL
DNB26_A_ALGEBRE;MATC_EXPRESSION_LITTERALE;ASSOCIE
DNB26_A_GEOMETRIE;MATC_ANGLE;CENTRAL
DNB26_A_GEOMETRIE;MATC_REPERE;ASSOCIE
DNB26_A_GEOMETRIE;MATC_COSINUS;ASSOCIE
DNB26_A_STATS;MATC_MEDIANE;CENTRAL
DNB26_A_STATS;MATC_REPRESENTATION_DONNEES;ASSOCIE
DNB26_A_PROBA;MATC_PROBABILITE;CENTRAL
DNB26_A_FONCTIONS;MATC_PROPORTIONNALITE;CENTRAL
DNB26_A_FONCTIONS;MATC_FONCTION_AFFINE;ASSOCIE
DNB26_A_ARITH;MATC_NOMBRE_PREMIER;CENTRAL
DNB26_A_ARITH;MATC_FACTEURS_PREMIERS;ASSOCIE
DNB26_A_GRANDEURS;MATC_AIRE;CENTRAL
DNB26_A_GRANDEURS;MATC_VOLUME;ASSOCIE
DNB26_A_ALGO;MATC_BOUCLE;CENTRAL
DNB26_A_ALGO;MATC_VARIABLE;ASSOCIE
DNB26_P_GEOM;MATC_PYTHAGORE;CENTRAL
DNB26_P_GEOM;MATC_THALES;ASSOCIE
DNB26_P_GEOM;MATC_COSINUS;ASSOCIE
DNB26_P_GEOM;MATC_HOMOTHETIE;ASSOCIE
DNB26_P_FONC;MATC_FONCTION_AFFINE;CENTRAL
DNB26_P_FONC;MATC_COEFFICIENT_MULTIPLICATEUR;ASSOCIE
DNB26_P_FONC;MATC_EQUATION_PREMIER_DEGRE;ASSOCIE
DNB26_P_DATA;MATC_MEDIANE;CENTRAL
DNB26_P_DATA;MATC_HISTOGRAMME;ASSOCIE
DNB26_P_DATA;MATC_PROBABILITE;ASSOCIE
DNB26_P_ALGO;MATC_BLOC_PERSONNALISE;CENTRAL
DNB26_P_ALGO;MATC_BOUCLE;ASSOCIE
DNB26_P_ALGO;MATC_CONDITION;ASSOCIE
DNB26_P_ALGO;MATC_VARIABLE;ASSOCIE
DNB26_P_GRAND;MATC_AIRE;CENTRAL
DNB26_P_GRAND;MATC_VOLUME;ASSOCIE
DNB26_P_GRAND;MATC_ECHELLE;ASSOCIE
