modele_id;capacite_id
EQ4E_001;ITM_MATOLD_4E_ATT_EQUATIONS
EQ1DEG_001;ITM_MAT_2GT_2026_09_02
LITT_EXPR_001;ITM_MAT_C4_01_05_01
LITT_REDUC_001;ITM_MAT_C4_01_05_02
LITT_DISTR_001;ITM_MAT_C4_01_05_03
FRAC_ADD_001;ITM_MAT_C3_6E_C09
FRAC_ADD_001;ITM_MAT_C4_01_01_03
PROP_001;ITM_MAT_C3_6E_C31
PROP_001;ITM_MAT_C4_04_01_02
PROP_RECON_001;ITM_MAT_C3_6E_C30
PROP_RECON_001;ITM_MAT_C4_04_01_01
PROP_TABLE_001;ITM_MAT_C3_6E_C32
PROP_TABLE_001;ITM_MAT_C4_04_01_02
PROP_PIEGE_001;ITM_MAT_C3_6E_C30
PROP_PIEGE_001;ITM_MAT_C4_04_01_01
PROP_TRANSF_001;ITM_MAT_C3_6E_C31
PROP_TRANSF_001;ITM_MAT_C4_04_01_02
FRAC_QTE_001;ITM_MAT_C3_6E_C07
FRAC_QTE_001;ITM_MAT_C4_01_03_02
FRAC_MULT_001;ITM_MAT_C4_01_01_03
FRAC_DIV_001;ITM_MAT_C4_01_01_03
PCT_001;ITM_MAT_C3_6E_C11
PCT_001;ITM_MAT_2GT_2026_17_01
PYTH_001;ITM_MATOLD_4E_ATT_PYTHAGORE
PYTH_IDENT_001;ITM_MATOLD_4E_ATT_PYTHAGORE
PYTH_HYP_001;ITM_MATOLD_4E_ATT_PYTHAGORE
PYTH_COTE_001;ITM_MATOLD_4E_ATT_PYTHAGORE
PYTH_DIAG_001;ITM_MATOLD_4E_ATT_PYTHAGORE
PYTH_APPL_001;ITM_MATOLD_4E_ATT_PYTHAGORE
ENS_R_MOT_001;ITM_MAT_2GT_2026_01_01
ENS_Z_001;ITM_MAT_2GT_2026_01_01
ENS_D_001;ITM_MAT_2GT_2026_01_01
ENS_Q_001;ITM_MAT_2GT_2026_01_01
ENS_SYM_001;ITM_MAT_2GT_2026_01_01
ENS_N_ZERO_001;ITM_MAT_2GT_2026_01_01
ENS_FRAC_SIMPL_001;ITM_MAT_2GT_2026_01_01
ENS_D_NEG_001;ITM_MAT_2GT_2026_01_01
ENS_R_IRR_001;ITM_MAT_2GT_2026_01_01
ENS_INCLUSION_001;ITM_MAT_2GT_2026_01_01
FRAC_QUOT_001;ITM_MAT_C3_6E_C05
FRAC_DROITE_001;ITM_MAT_C3_6E_C06
FRAC_EQUIV_001;ITM_MAT_C3_6E_C08
FRAC_COMP_001;ITM_MAT_C3_6E_C08
FRAC_ENCADR_001;ITM_MAT_C3_6E_C08
FRAC_SUB_001;ITM_MAT_C3_6E_C09
FRAC_SUB_001;ITM_MAT_C4_01_01_03
FRAC_MANQ_001;ITM_MAT_C3_6E_C09
FRAC_MULT_ENT_001;ITM_MAT_C3_6E_C10
IR_RECON_001;ITM_MAT_2GT_2026_09_01
IR_DEVEL_001;ITM_MAT_2GT_2026_09_01
IR_FACT_001;ITM_MAT_2GT_2026_09_01
IR_SIGNE_001;ITM_MAT_2GT_2026_09_01
IR_EQUIV_001;ITM_MAT_2GT_2026_09_01
DEC_ENCADR_001;ITM_MAT_C3_6E_C02
DEC_ARRONDI_001;ITM_MAT_C3_6E_C02
NUM_COMPARE_001;ITM_MAT_C3_6E_C01
NUM_DECOMP_001;ITM_MAT_C3_6E_C01
DEC_MULT_001;ITM_MAT_C3_6E_C03
OP_CHOICE_001;ITM_MAT_C3_6E_C04
INCONNUE_001;ITM_MAT_C3_6E_C12
REG_SUITE_001;ITM_MAT_C3_6E_C13
PER_RECT_001;ITM_MAT_C3_6E_C16
AIRE_RECT_001;ITM_MAT_C3_6E_C18
AIRE_CONV_001;ITM_MAT_C3_6E_C17
VOL_PAVE_001;ITM_MAT_C3_6E_C19
DUREE_CONV_001;ITM_MAT_C3_6E_C20
TRI_ANGLE_001;ITM_MAT_C3_6E_C21
MED_EQUIDIST_001;ITM_MAT_C3_6E_C22
CERCLE_DIAM_001;ITM_MAT_C3_6E_C23
SYM_AXE_001;ITM_MAT_C3_6E_C24
DATA_FILTER_001;ITM_MAT_C3_6E_C27
PROBA_SIMPLE_001;ITM_MAT_C3_6E_C28
FREQ_SIMPLE_001;ITM_MAT_C3_6E_C29
ECHELLE_001;ITM_MAT_C3_6E_C33
BOUCLE_001;ITM_MAT_C3_6E_C36
C5_ITM_MAT_C4_01_01_01_001;ITM_MAT_C4_01_01_01
C5_ITM_MAT_C4_01_01_02_001;ITM_MAT_C4_01_01_02
C5_ITM_MAT_C4_01_02_01_001;ITM_MAT_C4_01_02_01
C5_ITM_MAT_C4_01_02_02_001;ITM_MAT_C4_01_02_02
C5_ITM_MAT_C4_01_02_03_001;ITM_MAT_C4_01_02_03
C5_ITM_MAT_C4_01_03_01_001;ITM_MAT_C4_01_03_01
C5_ITM_MAT_C4_01_04_01_001;ITM_MAT_C4_01_04_01
C5_ITM_MAT_C4_01_04_02_001;ITM_MAT_C4_01_04_02
C5_ITM_MAT_C4_02_01_01_001;ITM_MAT_C4_02_01_01
