modele_id;texte_id;texte
C5_ITM_MAT_C4_01_01_01_001;intention;identifier
C5_ITM_MAT_C4_01_01_01_001;notion;Calculer et utiliser des produits et quotients
C5_ITM_MAT_C4_01_01_01_001;definition;Choisir et effectuer correctement une multiplication ou une division selon la situation.
C5_ITM_MAT_C4_01_01_01_001;rappel;Cherche la propriété ou la démarche qui caractérise précisément la notion demandée.
C5_ITM_MAT_C4_01_01_01_001;enonce;Quelle description correspond le mieux à « Calculer et utiliser des produits et quotients » ?
C5_ITM_MAT_C4_01_01_01_001;option_1;Choisir et effectuer correctement une multiplication ou une division selon la situation.
C5_ITM_MAT_C4_01_01_01_001;option_2;Effectuer d'abord les calculs entre parenthèses, puis les multiplications et divisions avant les additions et soustractions.
C5_ITM_MAT_C4_01_01_01_001;option_3;Placer des nombres positifs et négatifs par rapport à zéro sur un axe gradué.
C5_ITM_MAT_C4_01_01_01_001;option_4;Calculer une somme ou une différence comportant des nombres positifs et négatifs.
C5_ITM_MAT_C4_01_01_01_001;correcte;1
C5_ITM_MAT_C4_01_01_01_001;feedback_1;[[Je vois]] La question porte sur « Calculer et utiliser des produits et quotients ». [[Je sais]] Choisir et effectuer correctement une multiplication ou une division selon la situation. [[J'en déduis]] Cette description correspond bien à la notion demandée.
C5_ITM_MAT_C4_01_01_01_001;feedback_2;Cette proposition décrit une autre notion du programme. Compare-la avec la définition et le rappel.
C5_ITM_MAT_C4_01_01_01_001;feedback_3;Cette proposition décrit une autre notion du programme. Compare-la avec la définition et le rappel.
C5_ITM_MAT_C4_01_01_01_001;feedback_4;Cette proposition décrit une autre notion du programme. Compare-la avec la définition et le rappel.
C5_ITM_MAT_C4_01_01_02_001;intention;identifier
C5_ITM_MAT_C4_01_01_02_001;notion;Priorités opératoires
C5_ITM_MAT_C4_01_01_02_001;definition;Effectuer d'abord les calculs entre parenthèses, puis les multiplications et divisions avant les additions et soustractions.
C5_ITM_MAT_C4_01_01_02_001;rappel;Cherche la propriété ou la démarche qui caractérise précisément la notion demandée.
C5_ITM_MAT_C4_01_01_02_001;enonce;Quelle description correspond le mieux à « Priorités opératoires » ?
C5_ITM_MAT_C4_01_01_02_001;option_1;Effectuer d'abord les calculs entre parenthèses, puis les multiplications et divisions avant les additions et soustractions.
C5_ITM_MAT_C4_01_01_02_001;option_2;Choisir et effectuer correctement une multiplication ou une division selon la situation.
C5_ITM_MAT_C4_01_01_02_001;option_3;Placer des nombres positifs et négatifs par rapport à zéro sur un axe gradué.
C5_ITM_MAT_C4_01_01_02_001;option_4;Calculer une somme ou une différence comportant des nombres positifs et négatifs.
C5_ITM_MAT_C4_01_01_02_001;correcte;1
C5_ITM_MAT_C4_01_01_02_001;feedback_1;[[Je vois]] La question porte sur « Priorités opératoires ». [[Je sais]] Effectuer d'abord les calculs entre parenthèses, puis les multiplications et divisions avant les additions et soustractions. [[J'en déduis]] Cette description correspond bien à la notion demandée.
C5_ITM_MAT_C4_01_01_02_001;feedback_2;Cette proposition décrit une autre notion du programme. Compare-la avec la définition et le rappel.
C5_ITM_MAT_C4_01_01_02_001;feedback_3;Cette proposition décrit une autre notion du programme. Compare-la avec la définition et le rappel.
C5_ITM_MAT_C4_01_01_02_001;feedback_4;Cette proposition décrit une autre notion du programme. Compare-la avec la définition et le rappel.
C5_ITM_MAT_C4_01_02_01_001;intention;identifier
C5_ITM_MAT_C4_01_02_01_001;notion;Repérer des nombres relatifs
C5_ITM_MAT_C4_01_02_01_001;definition;Placer des nombres positifs et négatifs par rapport à zéro sur un axe gradué.
C5_ITM_MAT_C4_01_02_01_001;rappel;Cherche la propriété ou la démarche qui caractérise précisément la notion demandée.
C5_ITM_MAT_C4_01_02_01_001;enonce;Quelle description correspond le mieux à « Repérer des nombres relatifs » ?
C5_ITM_MAT_C4_01_02_01_001;option_1;Placer des nombres positifs et négatifs par rapport à zéro sur un axe gradué.
C5_ITM_MAT_C4_01_02_01_001;option_2;Choisir et effectuer correctement une multiplication ou une division selon la situation.
C5_ITM_MAT_C4_01_02_01_001;option_3;Effectuer d'abord les calculs entre parenthèses, puis les multiplications et divisions avant les additions et soustractions.
C5_ITM_MAT_C4_01_02_01_001;option_4;Calculer une somme ou une différence comportant des nombres positifs et négatifs.
C5_ITM_MAT_C4_01_02_01_001;correcte;1
