modele_id;texte_id;texte
DEC_ENCADR_001;notion;"Nombres décimaux"
DEC_ENCADR_001;definition;"Un nombre décimal est un nombre qui peut s'écrire avec un nombre fini de chiffres après la virgule."
DEC_ENCADR_001;rappel;"Repère d'abord la précision demandée : unité, dixième, centième… puis observe les deux valeurs consécutives qui entourent le nombre."
DEC_ENCADR_001;precision_entiers;"deux entiers consécutifs"
DEC_ENCADR_001;precision_dixiemes;"deux dixièmes consécutifs"
DEC_ENCADR_001;enonce;"Quel encadrement de %s entre %s est correct ?"
DEC_ENCADR_001;correction;"[[Je vois]]
%s est compris entre %s et %s.
[[Je sais]]
Pour encadrer un nombre, je cherche les deux valeurs consécutives à la précision demandée entre lesquelles il se trouve.
[[J'en déduis]]
%s < %s < %s."
DEC_ENCADR_001;feedback_intervalle;"%s n'est pas compris dans cet intervalle."
DEC_ENCADR_001;feedback_ordre;"Les bornes sont dans le mauvais ordre : %s est inférieur à %s."
DEC_ARRONDI_001;notion;"Nombres décimaux"
DEC_ARRONDI_001;definition;"Un nombre décimal est un nombre qui peut s'écrire avec un nombre fini de chiffres après la virgule."
DEC_ARRONDI_001;rappel;"Repère d'abord la précision demandée : unité, dixième, centième… puis observe les deux valeurs consécutives qui entourent le nombre."
DEC_ARRONDI_001;precision_dixieme;"au dixième"
DEC_ARRONDI_001;precision_centieme;"au centième"
DEC_ARRONDI_001;enonce;"Quel est l'arrondi %s de %s ?"
DEC_ARRONDI_001;correction;"[[Je vois]]
%s est compris entre %s et %s.
[[Je sais]]
Pour arrondir %s, je choisis la borne la plus proche.
[[J'en déduis]]
%s est plus proche de %s : son arrondi est donc %s."
DEC_ARRONDI_001;feedback;"L'arrondi %s de %s est %s."
