modele_id;texte_id;texte
PER_RECT_001;intention;"calculer un périmètre"
PER_RECT_001;notion;"Périmètre"
PER_RECT_001;definition;"Le périmètre d'une figure est la longueur de son contour."
PER_RECT_001;rappel;"Un rectangle possède deux longueurs et deux largeurs."
PER_RECT_001;enonce;"Un rectangle mesure %d cm de longueur et %d cm de largeur. Quel est son périmètre en cm ?"
PER_RECT_001;correction;"Pour un rectangle de %d cm sur %d cm, on additionne les quatre côtés : le périmètre vaut %g cm."
PER_RECT_001;feedback_faux;"Le périmètre mesure le contour, pas la surface."
AIRE_RECT_001;intention;"calculer une aire"
AIRE_RECT_001;notion;"Aire"
AIRE_RECT_001;definition;"L'aire mesure la surface occupée par une figure."
AIRE_RECT_001;rappel;"L'aire d'un rectangle est le produit de sa longueur par sa largeur."
AIRE_RECT_001;enonce;"Un rectangle mesure %d cm de longueur et %d cm de largeur. Quelle est son aire en cm² ?"
AIRE_RECT_001;correction;"Pour un rectangle de %d cm sur %d cm, l'aire vaut %g cm²."
AIRE_RECT_001;feedback_faux;"Pour une aire de rectangle, multiplie les deux dimensions."
AIRE_CONV_001;intention;"convertir une aire"
AIRE_CONV_001;notion;"Unités d'aire"
AIRE_CONV_001;definition;"Les unités d'aire mesurent des surfaces et varient par facteurs de 100 entre unités consécutives."
AIRE_CONV_001;rappel;"1 m² = 10 000 cm²."
AIRE_CONV_001;enonce;"Convertis %d m² en cm²."
AIRE_CONV_001;correction;"%d m² correspondent à %g cm²."
AIRE_CONV_001;feedback_faux;"Une conversion d'aire ne suit pas le même facteur qu'une conversion de longueur."
VOL_PAVE_001;intention;"calculer un volume"
VOL_PAVE_001;notion;"Volume"
VOL_PAVE_001;definition;"Le volume mesure l'espace occupé par un solide."
VOL_PAVE_001;rappel;"Le volume d'un pavé droit est longueur × largeur × hauteur."
VOL_PAVE_001;enonce;"Un pavé droit mesure %d cm × %d cm × %d cm. Quel est son volume en cm³ ?"
VOL_PAVE_001;correction;"Le volume du pavé %d × %d × %d est %g cm³."
VOL_PAVE_001;feedback_faux;"Pour un pavé droit, multiplie les trois dimensions."
DUREE_CONV_001;intention;"convertir une durée"
DUREE_CONV_001;notion;"Durées"
DUREE_CONV_001;definition;"Une durée mesure le temps écoulé entre deux instants."
DUREE_CONV_001;rappel;"Une heure contient 60 minutes."
DUREE_CONV_001;enonce;"Convertis %d h %d min en minutes."
DUREE_CONV_001;correction;"%d h %d min correspondent à %g minutes."
DUREE_CONV_001;feedback_faux;"Convertis d'abord les heures en minutes, puis ajoute les minutes restantes."
