modele_id;texte_id;texte
NUM_COMPARE_001;intention;"comparer"
NUM_COMPARE_001;notion;"Grands nombres"
NUM_COMPARE_001;definition;"Comparer deux nombres consiste à déterminer lequel est le plus grand, le plus petit, ou s'ils sont égaux."
NUM_COMPARE_001;rappel;"On compare d'abord les chiffres de plus grande valeur, puis on avance vers la droite si nécessaire."
NUM_COMPARE_001;enonce;"Entre %d et %d, lequel est le plus grand ? Réponds 1 pour le premier nombre ou 2 pour le second."
NUM_COMPARE_001;correction;"[[Je vois]] Je compare %d et %d. [[Je sais]] Les chiffres se comparent de gauche à droite. [[J'en déduis]] La bonne réponse est %d."
NUM_COMPARE_001;feedback_faux;"Reprends la comparaison en partant du chiffre de plus grande valeur."
NUM_DECOMP_001;intention;"décomposer"
NUM_DECOMP_001;notion;"Numération de position"
NUM_DECOMP_001;definition;"Dans l'écriture d'un entier, la valeur d'un chiffre dépend de sa position."
NUM_DECOMP_001;rappel;"Un chiffre des milliers représente ce chiffre multiplié par 1 000."
NUM_DECOMP_001;enonce;"Dans %d, quelle est la valeur du chiffre des milliers ?"
NUM_DECOMP_001;correction;"Dans %d, le chiffre des milliers représente %d."
NUM_DECOMP_001;feedback_faux;"Attention : on demande la valeur du chiffre, pas seulement le chiffre lui-même."
DEC_MULT_001;intention;"calculer"
DEC_MULT_001;notion;"Multiplication décimale"
DEC_MULT_001;definition;"Multiplier un nombre décimal revient à effectuer une multiplication en respectant la valeur des chiffres."
DEC_MULT_001;rappel;"Un contrôle par ordre de grandeur permet de repérer un résultat dix fois trop grand ou dix fois trop petit."
DEC_MULT_001;enonce;"Calcule %g × %d."
DEC_MULT_001;correction;"%g × %d = %g."
DEC_MULT_001;feedback_faux;"Vérifie le calcul et l'ordre de grandeur du résultat."
OP_CHOICE_001;intention;"choisir une opération"
OP_CHOICE_001;notion;"Sens des opérations"
OP_CHOICE_001;definition;"Choisir une opération consiste à traduire une situation par le calcul qui lui correspond."
OP_CHOICE_001;rappel;"Lorsqu'on retire une quantité à une autre, on calcule une différence."
OP_CHOICE_001;enonce;"On possède %d objets et on en retire %d. Combien en reste-t-il ?"
OP_CHOICE_001;correction;"On retire %d à %d : le résultat est %g."
OP_CHOICE_001;feedback_faux;"Relis l'action décrite : une quantité est retirée de la quantité de départ."
