methode_id;libelle;domaine;concept_id;demarche;niveau_id
MATM_SUITE_REGISTRES;Passer entre registres pour une suite;ALGEBRE;MATC_SUITE;Passer entre langue naturelle, écriture algébrique, représentation graphique et algorithme.;1G
MATM_SUITE_MODELE;Modéliser une évolution discrète;ALGEBRE;MATC_SUITE;Identifier l’indice, la grandeur et la règle d’évolution puis choisir une définition adaptée.;1G
MATM_SUITE_TERME;Calculer des termes d’une suite;ALGEBRE;MATC_SUITE;Exploiter une définition explicite, une récurrence ou un algorithme.;1G
MATM_SUITE_SOMME;Calculer une somme de termes;ALGEBRE;MATC_SUITE_GEOM;Identifier la nature de la suite et appliquer la formule de somme adaptée.;1G
MATM_SUITE_VARIATION;Étudier le sens de variation d’une suite;ALGEBRE;MATC_SUITE;Comparer deux termes successifs ou exploiter une expression adaptée.;1G
MATM_SECOND_SIGNE;Étudier le signe d’un trinôme;ALGEBRE;MATC_SECOND_DEGRE;Choisir une forme factorisée ou déterminer les racines puis organiser le signe.;1G
MATM_SECOND_FACTOR;Factoriser un trinôme;ALGEBRE;MATC_SECOND_DEGRE;Choisir entre racine évidente, somme-produit, identité remarquable ou discriminant.;1G
MATM_SECOND_FORME;Choisir la forme adaptée d’un trinôme;ALGEBRE;MATC_FORME_CANONIQUE;Choisir développée, canonique ou factorisée selon équation, signe, optimisation ou variations.;1G
MATM_DERIVEE_LOCAL;Interpréter un nombre dérivé;ANALYSE;MATC_NOMBRE_DERIVE;Relier taux de variation, pente de tangente, vitesse instantanée ou coût marginal.;1G
MATM_TANGENTE_EQ;Déterminer une équation de tangente;ANALYSE;MATC_TANGENTE;Calculer f(a) et f’(a), puis utiliser y=f(a)+f’(a)(x-a).;1G
MATM_APPROX_LINEAIRE;Utiliser une approximation linéaire;ANALYSE;MATC_APPROX_LINEAIRE;Remplacer localement f(a+h) par f(a)+f’(a)h et contrôler le contexte.;1G
MATM_DERIVEE_CALCUL;Calculer une fonction dérivée;ANALYSE;MATC_FONCTION_DERIVEE;Identifier la structure de l’expression puis appliquer les règles du programme.;1G
MATM_VARIATIONS;Étudier une fonction par sa dérivée;ANALYSE;MATC_VARIATIONS_DERIVEE;Calculer f’, étudier son signe et en déduire variations et extrémums.;1G
MATM_OPTIMISATION;Résoudre un problème d’optimisation;ANALYSE;MATC_VARIATIONS_DERIVEE;Construire la fonction objectif, déterminer son domaine puis exploiter ses variations.;1G
MATM_EXPO_TRANSFORM;Transformer une expression exponentielle;ANALYSE;MATC_EXPONENTIELLE;Utiliser les propriétés algébriques de l’exponentielle.;1G
MATM_EXPO_MODELE;Modéliser une évolution exponentielle;ANALYSE;MATC_EXPONENTIELLE;Identifier une évolution multiplicative continue et interpréter les paramètres.;1G
MATM_TRIGO_CERCLE;Lire sinus et cosinus sur le cercle;ANALYSE;MATC_CERCLE_TRIGO;Placer le réel sur le cercle puis lire les coordonnées et angles associés.;1G
MATM_PS_CHOIX;Choisir une expression du produit scalaire;GEOMETRIE;MATC_PRODUIT_SCALAIRE;Choisir projection, coordonnées, normes-angle ou identité selon les données.;1G
MATM_PS_ORTHO;Démontrer une orthogonalité;GEOMETRIE;MATC_ORTHOGONALITE;Construire deux vecteurs pertinents et établir que leur produit scalaire est nul.;1G
MATM_DROITE_NORMAL;Déterminer une équation de droite avec un vecteur normal;GEOMETRIE;MATC_VECTEUR_NORMAL;Utiliser un point et un vecteur normal pour déterminer ax+by+c=0.;1G
MATM_PROJECTION;Déterminer un projeté orthogonal;GEOMETRIE;MATC_PROJECTION_ORTHO;Combiner appartenance à la droite et orthogonalité.;1G
MATM_CERCLE_EQ;Exploiter une équation de cercle;GEOMETRIE;MATC_EQUATION_CERCLE;Passer entre centre-rayon et équation cartésienne.;1G
MATM_PROBA_COND;Calculer une probabilité conditionnelle;PROBABILITES;MATC_PROBA_CONDITIONNELLE;Identifier condition et intersection puis exploiter définition, tableau ou arbre.;1G
MATM_PROBA_TOTALES;Utiliser les probabilités totales;PROBABILITES;MATC_PROBA_TOTALES;Identifier une partition et sommer les probabilités des chemins correspondants.;1G
MATM_PROBA_INDEP;Justifier une indépendance;PROBABILITES;MATC_INDEPENDANCE;Comparer une conditionnelle à une probabilité ou une intersection au produit.;1G
MATM_BERNOULLI_ARBRE;Représenter des répétitions de Bernoulli;PROBABILITES;MATC_BERNOULLI_REPETITION;Construire l’arbre pour n inférieur ou égal à 4 et calculer des probabilités.;1G
MATM_VA_LOI;Déterminer une loi de probabilité;PROBABILITES;MATC_LOI_VARIABLE;Lister les valeurs possibles et agréger les probabilités des issues correspondantes.;1G
MATM_VA_INDICATEURS;Calculer espérance, variance et écart type;PROBABILITES;MATC_ESPERANCE;Calculer les indicateurs à partir de la loi et les interpréter dans le contexte.;1G
MATM_SIMULATION;Concevoir ou interpréter une simulation;ALGORITHMIQUE;MATC_SIMULATION;Répéter une expérience pseudo-aléatoire, recueillir les résultats et les comparer au modèle.;1G
MATM_TAUX_CALCUL;Calculer un taux de variation;ANALYSE;MATC_TAUX_VARIATION;Entre a et b, calculer (f(b)-f(a))/(b-a), puis identifier les unités et le sens de la variation moyenne.;1G
MATM_SECANTE_PENTE;Interpréter graphiquement une sécante;ANALYSE;MATC_SECANTE;Choisir deux points de la courbe, construire la sécante et relier sa pente au taux de variation.;1G
MATM_DERIVEE_GRAPHIQUE;Estimer un nombre dérivé graphiquement;ANALYSE;MATC_NOMBRE_DERIVE;Lire ou construire la tangente au point considéré puis estimer son coefficient directeur.;1G
MATM_DERIVABILITE;Reconnaître la dérivabilité dans un cas graphique simple;ANALYSE;MATC_DERIVABILITE_POINT;Observer le comportement des sécantes et vérifier qu’une direction limite unique et finie se dégage.;1G
