notion_id;discipline_id;libelle;description;document
MAT_ACTIVITES_GEOMETRIQUES_UNIQUEMENT_POUR_LA_SERIE_STD2A;MAT;Activités géométriques (uniquement pour la série STD2A);Repères, méthodes et automatismes essentiels sur : Activités géométriques (uniquement pour la série STD2A).;notions/activites_geometriques_std2a.md
MAT_AIRES;MAT;Aires;Repères, méthodes et automatismes essentiels sur : Aires.;notions/aires.md
MAT_ALGEBRE_ET_GEOMETRIE;MAT;Algèbre et géométrie;Repères, méthodes et automatismes essentiels sur : Algèbre et géométrie.;notions/algebre_et_geometrie.md
MAT_ALGORITHMIQUE_ET_PROGRAMMATION;MAT;Algorithmique et programmation;Repères, méthodes et automatismes essentiels sur : Algorithmique et programmation.;notions/algorithmique_et_programmation.md
MAT_ALGORITHMIQUE_ET_PROGRAMMATION_SAUF_SERIE_STD2A;MAT;Algorithmique et programmation (sauf série STD2A);Repères, méthodes et automatismes essentiels sur : Algorithmique et programmation (sauf série STD2A).;notions/algorithmique_programmation_hors_std2a.md
MAT_ANALYSE;MAT;Analyse;Repères, méthodes et automatismes essentiels sur : Analyse.;notions/analyse.md
MAT_ANALYSE_DE_L_INFORMATION_CHIFFREE;MAT;Analyse de l’information chiffrée;Repères, méthodes et automatismes essentiels sur : Analyse de l’information chiffrée.;notions/analyse_de_l_information_chiffree.md
MAT_ANGLES;MAT;Angles;Repères, méthodes et automatismes essentiels sur : Angles.;notions/angles.md
MAT_APPROCHE_HISTORIQUE_DE_LA_FONCTION_LOGARITHME;MAT;Approche historique de la fonction logarithme;Repères, méthodes et automatismes essentiels sur : Approche historique de la fonction logarithme.;notions/approche_historique_de_la_fonction_logarithme.md
MAT_ARITHMETIQUE;MAT;Arithmétique;Repères, méthodes et automatismes essentiels sur : Arithmétique.;notions/arithmetique.md
MAT_CALCULS_D_AIRES;MAT;Calculs d’aires;Repères, méthodes et automatismes essentiels sur : Calculs d’aires.;notions/calculs_d_aires.md
MAT_CALCUL_INTEGRAL;MAT;Calcul intégral;Intégrale, primitives, propriétés, aires et valeur moyenne.;notions/calcul_integral.md
MAT_CALCUL_NUMERIQUE_ET_ALGEBRIQUE;MAT;Calcul numérique et algébrique;Repères, méthodes et automatismes essentiels sur : Calcul numérique et algébrique.;notions/calcul_numerique_et_algebrique.md
MAT_CALCUL_VECTORIEL_ET_PRODUIT_SCALAIRE;MAT;Calcul vectoriel et produit scalaire;Repères, méthodes et automatismes essentiels sur : Calcul vectoriel et produit scalaire.;notions/calcul_vectoriel_et_produit_scalaire.md
MAT_CALC_LITT;MAT;Calcul littéral;Traduire, réduire et transformer des expressions littérales simples.;notions/calcul_litteral.md
MAT_LITT_SENS;MAT;Comprendre une expression littérale;Interpréter une lettre, un produit implicite et une expression littérale simple.;notions/expression_litterale_sens.md
MAT_LITT_REDUCTION;MAT;Réduire une expression littérale;Regrouper les termes de même nature et écrire une expression sous une forme plus simple.;notions/reduire_expression_litterale.md
MAT_LITT_DISTRIBUTIVITE;MAT;Distributivité;Développer ou factoriser une expression simple en utilisant la distributivité.;notions/distributivite.md
MAT_COMBINATOIRE_ET_DENOMBREMENT;MAT;Combinatoire et dénombrement;Dénombrement par principes additif et multiplicatif, permutations et coefficients binomiaux.;notions/combinatoire_et_denombrement.md
MAT_COMPLEMENTS_SUR_LA_DERIVATION;MAT;Compléments sur la dérivation;Dérivation, variations, dérivée seconde, convexité et points d’inflexion.;notions/complements_sur_la_derivation.md
MAT_CONCENTRATION_LOI_DES_GRANDS_NOMBRES;MAT;Concentration, loi des grands nombres;Inégalité de Bienaymé-Tchebychev, concentration et loi des grands nombres.;notions/concentration_loi_des_grands_nombres.md
MAT_CONFIGURATIONS_PLANES;MAT;Configurations planes;Repères, méthodes et automatismes essentiels sur : Configurations planes.;notions/configurations_planes.md
MAT_CONTINUITE_DES_FONCTIONS_D_UNE_VARIABLE_REELLE;MAT;Continuité des fonctions d’une variable réelle;Continuité, théorème des valeurs intermédiaires, existence et unicité de solutions.;notions/continuite_des_fonctions_d_une_variable_reelle.md
MAT_CORRELATION_ET_CAUSALITE;MAT;Corrélation et causalité;Repères, méthodes et automatismes essentiels sur : Corrélation et causalité.;notions/correlation_et_causalite.md
MAT_CROISEMENT_DE_DEUX_VARIABLES_QUALITATIVES;MAT;Croisement de deux variables qualitatives;Repères, méthodes et automatismes essentiels sur : Croisement de deux variables qualitatives.;notions/croisement_de_deux_variables_qualitatives.md
MAT_DERIVATION;MAT;Dérivation;Repères, méthodes et automatismes essentiels sur : Dérivation.;notions/derivation.md
MAT_DROITES_DU_PLAN;MAT;Droites du plan;Repères, méthodes et automatismes essentiels sur : Droites du plan.;notions/droites_du_plan.md
MAT_EQ1;MAT;Équations du premier degré;Comprendre une égalité à inconnue et résoudre des équations simples.;notions/equations_premier_degre.md
MAT_EQUATIONS_FONCTIONS_POLYNOMES_DU_SECOND_DEGRE;MAT;Équations, fonctions polynômes du second degré;Repères, méthodes et automatismes essentiels sur : Équations, fonctions polynômes du second degré.;notions/equations_fonctions_polynomes_du_second_degre.md
MAT_EVOLUTIONS_ET_VARIATIONS;MAT;Évolutions et variations;Repères, méthodes et automatismes essentiels sur : Évolutions et variations.;notions/evolutions_et_variations.md
MAT_EXPERIMENTATIONS;MAT;Expérimentations;Repères, méthodes et automatismes essentiels sur : Expérimentations.;notions/experimentations.md
MAT_FONCTIONS;MAT;Fonctions;Repères, méthodes et automatismes essentiels sur : Fonctions.;notions/fonctions.md
MAT_FONCTIONS_CONTINUITE_DERIVABILITE_LIMITES_REPRESENTATIO;MAT;Fonctions : continuité, dérivabilité, limites, représentation graphique;Repères, méthodes et automatismes essentiels sur : Fonctions : continuité, dérivabilité, limites, représentation graphique.;notions/fonctions_continuite_limites.md
MAT_FONCTIONS_CONVEXES;MAT;Fonctions convexes;Repères, méthodes et automatismes essentiels sur : Fonctions convexes.;notions/fonctions_convexes.md
MAT_FONCTIONS_DE_LA_VARIABLE_REELLE;MAT;Fonctions de la variable réelle;Repères, méthodes et automatismes essentiels sur : Fonctions de la variable réelle.;notions/fonctions_de_la_variable_reelle.md
MAT_FONCTIONS_ET_REPRESENTATIONS;MAT;Fonctions et représentations;Repères, méthodes et automatismes essentiels sur : Fonctions et représentations.;notions/fonctions_et_representations.md
MAT_FONCTIONS_EXPONENTIELLES;MAT;Fonctions exponentielles;Repères, méthodes et automatismes essentiels sur : Fonctions exponentielles.;notions/fonctions_exponentielles.md
MAT_FONCTIONS_SINUS_ET_COSINUS;MAT;Fonctions sinus et cosinus;Fonctions trigonométriques, périodicité, dérivation et variations.;notions/fonctions_sinus_et_cosinus.md
MAT_FONCTION_EXPONENTIELLE;MAT;Fonction exponentielle;Repères, méthodes et automatismes essentiels sur : Fonction exponentielle.;notions/fonction_exponentielle.md
MAT_FONCTION_INVERSE;MAT;Fonction inverse;Repères, méthodes et automatismes essentiels sur : Fonction inverse.;notions/fonction_inverse.md
MAT_FONCTION_LOGARITHME;MAT;Fonction logarithme;Logarithme népérien, propriétés algébriques, dérivée, limites et équations exponentielles.;notions/fonction_logarithme.md
MAT_FONCTION_LOGARITHME_DECIMAL;MAT;Fonction logarithme décimal;Repères, méthodes et automatismes essentiels sur : Fonction logarithme décimal.;notions/fonction_logarithme_decimal.md
MAT_FRACTION_ADD;MAT;Addition et soustraction de fractions;Additionner et soustraire des fractions en utilisant des écritures équivalentes.;notions/addition_fractions.md
MAT_FRACTION_QTE;MAT;Fraction d’une quantité;Calculer et interpréter une fraction d’une quantité.;notions/fraction_quantite.md
MAT_FRACTION_SENS;MAT;Fractions : sens et représentations;Comprendre une fraction comme nombre, quotient et opérateur.;notions/fractions_sens.md
MAT_GEOMETRIE;MAT;Géométrie;Repères, méthodes et automatismes essentiels sur : Géométrie.;notions/geometrie.md
MAT_GEOMETRIE_DANS_L_ESPACE;MAT;Géométrie dans l’espace;Repères, méthodes et automatismes essentiels sur : Géométrie dans l’espace.;notions/geometrie_dans_l_espace.md
MAT_GEOMETRIE_PLANE;MAT;Géométrie plane;Repères, méthodes et automatismes essentiels sur : Géométrie plane.;notions/geometrie_plane.md
MAT_GEOMETRIE_REPEREE;MAT;Géométrie repérée;Repères, méthodes et automatismes essentiels sur : Géométrie repérée.;notions/geometrie_reperee.md
MAT_HORAIRES_ET_DUREES;MAT;Horaires et durées;Repères, méthodes et automatismes essentiels sur : Horaires et durées.;notions/horaires_et_durees.md
MAT_INFERENCE_BAYESIENNE;MAT;Inférence bayésienne;Repères, méthodes et automatismes essentiels sur : Inférence bayésienne.;notions/inference_bayesienne.md
MAT_INFORMATION_CHIFFREE_ET_STATISTIQUE_DESCRIPTIVE;MAT;Information chiffrée et statistique descriptive;Repères, méthodes et automatismes essentiels sur : Information chiffrée et statistique descriptive.;notions/statistique_descriptive.md
MAT_INSTRUCTIONS_SEQUENCES_ET_REPETITIONS;MAT;Instructions, séquences et répétitions;Repères, méthodes et automatismes essentiels sur : Instructions, séquences et répétitions.;notions/instructions_sequences_et_repetitions.md
MAT_INTEGRATION;MAT;Intégration;Repères, méthodes et automatismes essentiels sur : Intégration.;notions/integration.md
MAT_LIMITES_DES_FONCTIONS;MAT;Limites des fonctions;Limites en un point ou à l’infini, opérations, formes indéterminées et asymptotes.;notions/limites_des_fonctions.md
MAT_LISTE_INDICATIVE_DE_THEMES;MAT;Liste indicative de thèmes;Repères, méthodes et automatismes essentiels sur : Liste indicative de thèmes.;notions/liste_indicative_de_themes.md
MAT_LOIS_A_DENSITE;MAT;Lois à densité;Repères, méthodes et automatismes essentiels sur : Lois à densité.;notions/lois_a_densite.md
MAT_LOIS_DISCRETES;MAT;Lois discrètes;Repères, méthodes et automatismes essentiels sur : Lois discrètes.;notions/lois_discretes.md
MAT_LONGUEURS_ET_PERIMETRES;MAT;Longueurs et périmètres;Repères, méthodes et automatismes essentiels sur : Longueurs et périmètres.;notions/longueurs_et_perimetres.md
MAT_MANIPULATION_DES_VECTEURS_DES_DROITES_ET_DES_PLANS_DE_L;MAT;Manipulation des vecteurs, des droites et des plans de l’espace;Vecteurs de l’espace, colinéarité, coplanarité, droites et plans.;notions/vecteurs_droites_plans_espace.md
MAT_MODELES_DEFINIS_PAR_UNE_FONCTION_D_UNE_VARIABLE;MAT;Modèles définis par une fonction d’une variable;Repères, méthodes et automatismes essentiels sur : Modèles définis par une fonction d’une variable.;notions/modeles_fonction_une_variable.md
MAT_MODELES_D_EVOLUTION;MAT;Modèles d’évolution;Repères, méthodes et automatismes essentiels sur : Modèles d’évolution.;notions/modeles_d_evolution.md
MAT_MODELE_ASSOCIE_A_UNE_EXPERIENCE_ALEATOIRE_A_PLUSIEURS_E;MAT;Modèle associé à une expérience aléatoire à plusieurs épreuves indépendantes;Repères, méthodes et automatismes essentiels sur : Modèle associé à une expérience aléatoire à plusieurs épreuves indépendantes.;notions/experiences_independantes_multiples.md
MAT_MODELISATION_QUADRATIQUE;MAT;Modélisation quadratique;Repères, méthodes et automatismes essentiels sur : Modélisation quadratique.;notions/modelisation_quadratique.md
MAT_MULTIPLES_ET_DIVISEURS;MAT;Multiples et diviseurs;Repères, méthodes et automatismes essentiels sur : Multiples et diviseurs.;notions/multiples_et_diviseurs.md
MAT_NOMBRES_ENTIERS_ET_DECIMAUX;MAT;Nombres entiers et décimaux;Repères, méthodes et automatismes essentiels sur : Nombres entiers et décimaux.;notions/nombres_entiers_et_decimaux.md
MAT_NOMBRES_ET_CALCULS_ALGEBRE;MAT;Nombres et calculs, algèbre;Repères, méthodes et automatismes essentiels sur : Nombres et calculs, algèbre.;notions/nombres_et_calculs_algebre.md
MAT_NOMBRES_RATIONNELS;MAT;Nombres rationnels;Repères, méthodes et automatismes essentiels sur : Nombres rationnels.;notions/nombres_rationnels.md
MAT_NOMBRES_REELS;MAT;Nombres réels;Repères, méthodes et automatismes essentiels sur : Nombres réels.;notions/nombres_reels.md
MAT_NOTION_DE_FONCTION;MAT;Notion de fonction;Repères, méthodes et automatismes essentiels sur : Notion de fonction.;notions/notion_de_fonction.md
MAT_NOTION_DE_LISTE;MAT;Notion de liste;Listes en algorithmique, indices, parcours, ajout et traitement de valeurs.;notions/notion_de_liste.md
MAT_OPERATIONS;MAT;Opérations;Repères, méthodes et automatismes essentiels sur : Opérations.;notions/operations.md
MAT_ORGANISATION_ET_GESTION_DE_DONNEES;MAT;Organisation et gestion de données;Repères, méthodes et automatismes essentiels sur : Organisation et gestion de données.;notions/organisation_et_gestion_de_donnees.md
MAT_ORTHOGONALITE_ET_DISTANCES_DANS_L_ESPACE;MAT;Orthogonalité et distances dans l’espace;Produit scalaire dans l’espace, orthogonalité, vecteurs normaux et distances.;notions/orthogonalite_et_distances_dans_l_espace.md
MAT_PARALLELOGRAMMES;MAT;Parallélogrammes;Repères, méthodes et automatismes essentiels sur : Parallélogrammes.;notions/parallelogrammes.md
MAT_PARALLELOGRAMMES_ET_TRANSLATIONS;MAT;Parallélogrammes et translations;Repères, méthodes et automatismes essentiels sur : Parallélogrammes et translations.;notions/parallelogrammes_et_translations.md
MAT_PHENOMENES_ALEATOIRES;MAT;Phénomènes aléatoires;Repères, méthodes et automatismes essentiels sur : Phénomènes aléatoires.;notions/phenomenes_aleatoires.md
MAT_PHENOMENES_D_EVOLUTION_MODELISATION_PAR_DES_FONCTIONS;MAT;Phénomènes d’évolution, modélisation par des fonctions;Repères, méthodes et automatismes essentiels sur : Phénomènes d’évolution, modélisation par des fonctions.;notions/evolution_modelisation_fonctions.md
MAT_POURCENTAGE;MAT;Pourcentages;Relier pourcentage, fraction, proportion et quantité.;notions/pourcentages.md
MAT_PREMIERS_RAISONNEMENTS_ALGEBRIQUES;MAT;Premiers raisonnements algébriques;Repères, méthodes et automatismes essentiels sur : Premiers raisonnements algébriques.;notions/premiers_raisonnements_algebriques.md
MAT_PRIMITIVES_EQUATIONS_DIFFERENTIELLES;MAT;Primitives, équations différentielles;Primitives et résolution d’équations différentielles élémentaires avec conditions initiales.;notions/primitives_equations_differentielles.md
MAT_PRIMITIVES_ET_EQUATIONS_DIFFERENTIELLES;MAT;Primitives et équations différentielles;Repères, méthodes et automatismes essentiels sur : Primitives et équations différentielles.;notions/primitives_et_equations_differentielles.md
MAT_PROBABILITES;MAT;Probabilités;Repères, méthodes et automatismes essentiels sur : Probabilités.;notions/probabilites.md
MAT_PROBABILITES_CONDITIONNELLES;MAT;Probabilités conditionnelles;Repères, méthodes et automatismes essentiels sur : Probabilités conditionnelles.;notions/probabilites_conditionnelles.md
MAT_PROBABILITES_CONDITIONNELLES_ET_INDEPENDANCE;MAT;Probabilités conditionnelles et indépendance;Repères, méthodes et automatismes essentiels sur : Probabilités conditionnelles et indépendance.;notions/probabilites_conditionnelles_et_independance.md
MAT_PROBABILITES_CONDITIONNELLES_INDEPENDANCE;MAT;Probabilités conditionnelles : indépendance;Repères, méthodes et automatismes essentiels sur : Probabilités conditionnelles : indépendance.;notions/probabilites_conditionnelles_independance.md
MAT_PROBABILITES_ET_STATISTIQUE;MAT;Probabilités et statistique;Repères, méthodes et automatismes essentiels sur : Probabilités et statistique.;notions/probabilites_et_statistique.md
MAT_PROBABILITES_ET_STATISTIQUES;MAT;Probabilités et statistiques;Repères, méthodes et automatismes essentiels sur : Probabilités et statistiques.;notions/probabilites_et_statistiques.md
MAT_PROP;MAT;Proportionnalité;Reconnaître et traiter une situation de proportionnalité.;notions/proportionnalite.md
MAT_PUISSANCES;MAT;Puissances;Repères, méthodes et automatismes essentiels sur : Puissances.;notions/puissances.md
MAT_RACINE_CARREE;MAT;Racine carrée;Repères, méthodes et automatismes essentiels sur : Racine carrée.;notions/racine_carree.md
MAT_RELATIFS;MAT;Nombres relatifs;Repérer, comparer et calculer avec des nombres relatifs.;notions/nombres_relatifs.md
MAT_REPARTITION_DES_RICHESSES_INEGALITES;MAT;Répartition des richesses, inégalités;Repères, méthodes et automatismes essentiels sur : Répartition des richesses, inégalités.;notions/repartition_des_richesses_inegalites.md
MAT_REPERAGE_SUR_UNE_DROITE_ET_DANS_LE_PLAN;MAT;Repérage sur une droite et dans le plan;Repères, méthodes et automatismes essentiels sur : Repérage sur une droite et dans le plan.;notions/reperage_sur_une_droite_et_dans_le_plan.md
MAT_REPETITION_D_EXPERIENCES_INDEPENDANTES_ECHANTILLONNAGE;MAT;Répétition d’expériences indépendantes, échantillonnage;Repères, méthodes et automatismes essentiels sur : Répétition d’expériences indépendantes, échantillonnage.;notions/echantillonnage_experiences_indep.md
MAT_REPRESENTATIONS_PARAMETRIQUES_ET_EQUATIONS_CARTESIENNES;MAT;Représentations paramétriques et équations cartésiennes;Représentations paramétriques des droites, équations cartésiennes des plans et intersections.;notions/equations_parametriques_cartesiennes.md
MAT_REPRESENTATION_ALGEBRIQUE_ET_GRAPHIQUE_DES_FONCTIONS;MAT;Représentation algébrique et graphique des fonctions;Repères, méthodes et automatismes essentiels sur : Représentation algébrique et graphique des fonctions.;notions/representation_fonctions.md
MAT_REPRESENTATION_DE_L_ESPACE;MAT;Représentation de l’espace;Repères, méthodes et automatismes essentiels sur : Représentation de l’espace.;notions/representation_de_l_espace.md
MAT_SERIES_STATISTIQUES_A_DEUX_VARIABLES_QUANTITATIVES;MAT;Séries statistiques à deux variables quantitatives;Repères, méthodes et automatismes essentiels sur : Séries statistiques à deux variables quantitatives.;notions/statistiques_deux_variables.md
MAT_SOMMES_DE_VARIABLES_ALEATOIRES;MAT;Sommes de variables aléatoires;Sommes de variables aléatoires, linéarité de l’espérance et variance sous indépendance.;notions/sommes_de_variables_aleatoires.md
MAT_STATISTIQUES;MAT;Statistiques;Repères, méthodes et automatismes essentiels sur : Statistiques.;notions/statistiques.md
MAT_STATISTIQUES_ET_PROBABILITES;MAT;Statistiques et probabilités;Repères, méthodes et automatismes essentiels sur : Statistiques et probabilités.;notions/statistiques_et_probabilites.md
MAT_STATISTIQUE_A_DEUX_VARIABLES_QUANTITATIVES;MAT;Statistique à deux variables quantitatives;Repères, méthodes et automatismes essentiels sur : Statistique à deux variables quantitatives.;notions/statistique_a_deux_variables_quantitatives.md
MAT_STATISTIQUE_ET_PROBABILITES;MAT;Statistique et probabilités;Repères, méthodes et automatismes essentiels sur : Statistique et probabilités.;notions/statistique_et_probabilites.md
MAT_SUCCESSION_D_EPREUVES_INDEPENDANTES_SCHEMA_DE_BERNOULLI;MAT;Succession d’épreuves indépendantes, schéma de Bernoulli;Épreuves indépendantes, schéma de Bernoulli et loi binomiale.;notions/schema_bernoulli.md
MAT_SUITES;MAT;Suites;Repères, méthodes et automatismes essentiels sur : Suites.;notions/suites.md
MAT_SUITES_NUMERIQUES;MAT;Suites numériques;Variations, bornes, convergence, limites et raisonnement par récurrence pour les suites.;notions/suites_numeriques.md
MAT_SUITES_NUMERIQUES_MODELES_DISCRETS;MAT;Suites numériques, modèles discrets;Repères, méthodes et automatismes essentiels sur : Suites numériques, modèles discrets.;notions/suites_numeriques_modeles_discrets.md
MAT_TEMPS_D_ATTENTE;MAT;Temps d’attente;Repères, méthodes et automatismes essentiels sur : Temps d’attente.;notions/temps_d_attente.md
MAT_TRANSFORMATIONS;MAT;Transformations;Repères, méthodes et automatismes essentiels sur : Transformations.;notions/transformations.md
MAT_TRANSLATIONS_ET_VECTEURS;MAT;Translations et vecteurs;Repères, méthodes et automatismes essentiels sur : Translations et vecteurs.;notions/translations_et_vecteurs.md
MAT_TRIANGLES;MAT;Triangles;Repères, méthodes et automatismes essentiels sur : Triangles.;notions/triangles.md
MAT_TRIGONOMETRIE;MAT;Trigonométrie;Repères, méthodes et automatismes essentiels sur : Trigonométrie.;notions/trigonometrie.md
MAT_VARIABLES_ALEATOIRES;MAT;Variables aléatoires;Repères, méthodes et automatismes essentiels sur : Variables aléatoires.;notions/variables_aleatoires.md
