type_exercice_id;libelle;domaine;concept_id;objectif;niveau_id;difficulte
MATX_SUITE_MODELE;Modélisation par une suite;ALGEBRE;MATC_SUITE;Passer d’une situation discrète à une définition de suite puis exploiter le modèle.;1G;2
MATX_SUITE_SEUIL;Algorithme de seuil sur une suite;ALGEBRE;MATC_SUITE;Calculer des termes jusqu’au franchissement d’un seuil.;1G;3
MATX_SECOND_CHOIX;Choix d’une forme du second degré;ALGEBRE;MATC_SECOND_DEGRE;Choisir puis exploiter la représentation la plus efficace.;1G;2
MATX_SECOND_OPTIM;Optimisation avec un trinôme;ALGEBRE;MATC_FORME_CANONIQUE;Modéliser une grandeur et déterminer un extremum.;1G;3
MATX_DERIVEE_TANGENTE;Nombre dérivé et tangente;ANALYSE;MATC_NOMBRE_DERIVE;Articuler taux de variation, interprétation locale et équation de tangente.;1G;2
MATX_DERIVEE_VARIATIONS;Étude de fonction par dérivation;ANALYSE;MATC_VARIATIONS_DERIVEE;Calculer f’, étudier son signe et conclure sur variations et extrémums.;1G;2
MATX_OPTIMISATION;Problème d’optimisation;ANALYSE;MATC_VARIATIONS_DERIVEE;Construire et étudier une fonction objectif dans un contexte.;1G;3
MATX_EXPO_MODELE;Modélisation exponentielle;ANALYSE;MATC_EXPONENTIELLE;Identifier et exploiter une croissance ou décroissance exponentielle.;1G;2
MATX_TRIGO_CERCLE;Lecture du cercle trigonométrique;ANALYSE;MATC_CERCLE_TRIGO;Placer des réels et déterminer sinus et cosinus associés.;1G;1
MATX_PS_GEOM;Produit scalaire et géométrie;GEOMETRIE;MATC_PRODUIT_SCALAIRE;Choisir une formule pour calculer longueur, angle ou orthogonalité.;1G;2
MATX_GEO_REPEREE;Droite, projection et cercle;GEOMETRIE;MATC_PROJECTION_ORTHO;Combiner équations, vecteurs normaux et orthogonalité.;1G;3
MATX_PROBA_ARBRE;Probabilités conditionnelles sur arbre;PROBABILITES;MATC_PROBA_CONDITIONNELLE;Construire ou exploiter un arbre et utiliser les probabilités totales.;1G;2
MATX_PROBA_INDEP;Indépendance;PROBABILITES;MATC_INDEPENDANCE;Tester ou exploiter l’indépendance dans une situation contextualisée.;1G;2
MATX_BERNOULLI;Répétitions de Bernoulli;PROBABILITES;MATC_BERNOULLI_REPETITION;Construire un arbre pour une petite répétition et calculer un événement.;1G;2
MATX_VA_JEU;Variable aléatoire et jeu;PROBABILITES;MATC_VARIABLE_ALEATOIRE;Construire une loi de gain et interpréter espérance et dispersion.;1G;2
MATX_SIMULATION;Simulation et comparaison au modèle;ALGORITHMIQUE;MATC_SIMULATION;Simuler, résumer des fréquences et confronter expérimentation et modèle.;1G;2
MATX_DERIVEE_SECANTE;Sécantes et taux de variation;ANALYSE;MATC_TAUX_VARIATION;Calculer plusieurs taux de variation et interpréter les pentes des sécantes associées.;1G;1
MATX_DERIVEE_LECTURE;Lecture graphique du nombre dérivé;ANALYSE;MATC_NOMBRE_DERIVE;Lire une tangente, déterminer son coefficient directeur et interpréter f’(a).;1G;1
MATX_DERIVEE_POLYNOME;Calcul de dérivée polynomiale;ANALYSE;MATC_FONCTION_DERIVEE;Dériver des polynômes de degré inférieur ou égal à 3 en mobilisant les règles du programme.;1G;1
MATX_TANGENTE_EQUATION;Équation de tangente;ANALYSE;MATC_TANGENTE;Calculer f(a), f’(a) puis déterminer et contrôler l’équation de la tangente.;1G;2
MATX_DERIVEE_VITESSE;Vitesse instantanée et unités;ANALYSE;MATC_NOMBRE_DERIVE;Passer d’une fonction position à une vitesse instantanée et interpréter valeur, signe et unités.;1G;2
