type_exercice_id;concept_id;role
MATX_SUITE_MODELE;MATC_SUITE;CENTRAL
MATX_SUITE_SEUIL;MATC_SUITE;CENTRAL
MATX_SECOND_CHOIX;MATC_SECOND_DEGRE;CENTRAL
MATX_SECOND_OPTIM;MATC_FORME_CANONIQUE;CENTRAL
MATX_DERIVEE_TANGENTE;MATC_NOMBRE_DERIVE;CENTRAL
MATX_DERIVEE_VARIATIONS;MATC_VARIATIONS_DERIVEE;CENTRAL
MATX_OPTIMISATION;MATC_VARIATIONS_DERIVEE;CENTRAL
MATX_EXPO_MODELE;MATC_EXPONENTIELLE;CENTRAL
MATX_TRIGO_CERCLE;MATC_CERCLE_TRIGO;CENTRAL
MATX_PS_GEOM;MATC_PRODUIT_SCALAIRE;CENTRAL
MATX_GEO_REPEREE;MATC_PROJECTION_ORTHO;CENTRAL
MATX_PROBA_ARBRE;MATC_PROBA_CONDITIONNELLE;CENTRAL
MATX_PROBA_INDEP;MATC_INDEPENDANCE;CENTRAL
MATX_BERNOULLI;MATC_BERNOULLI_REPETITION;CENTRAL
MATX_VA_JEU;MATC_VARIABLE_ALEATOIRE;CENTRAL
MATX_SIMULATION;MATC_SIMULATION;CENTRAL
MATX_DERIVEE_SECANTE;MATC_TAUX_VARIATION;CENTRAL
MATX_DERIVEE_LECTURE;MATC_NOMBRE_DERIVE;CENTRAL
MATX_DERIVEE_POLYNOME;MATC_FONCTION_DERIVEE;CENTRAL
MATX_TANGENTE_EQUATION;MATC_TANGENTE;CENTRAL
MATX_DERIVEE_VITESSE;MATC_NOMBRE_DERIVE;CENTRAL
MATX_DERIVEE_PARAMETRE;MATC_TANGENTE;CENTRAL
MATX_DERIVEE_EXTREMUM;MATC_EXTREMUM;CENTRAL
MATX_DERIVEE_APPROX;MATC_APPROX_LINEAIRE;CENTRAL
MATX_DERIVEE_TANGENTE;MATC_TAUX_VARIATION;MOBILISE
MATX_DERIVEE_TANGENTE;MATC_TANGENTE;CENTRAL
MATX_DERIVEE_TANGENTE;MATC_FONCTION_DERIVEE;MOBILISE
MATX_DERIVEE_VARIATIONS;MATC_FONCTION_DERIVEE;MOBILISE
MATX_DERIVEE_VARIATIONS;MATC_EXTREMUM;MOBILISE
MATX_OPTIMISATION;MATC_EXTREMUM;MOBILISE
MATX_OPTIMISATION;MATC_FONCTION_DERIVEE;MOBILISE
MATX_DERIVEE_SECANTE;MATC_SECANTE;MOBILISE
MATX_DERIVEE_SECANTE;MATC_COEFF_DIRECTEUR;PREREQUIS
MATX_DERIVEE_LECTURE;MATC_TANGENTE;MOBILISE
MATX_DERIVEE_LECTURE;MATC_COEFF_DIRECTEUR;PREREQUIS
MATX_DERIVEE_POLYNOME;MATC_VARIATIONS_DERIVEE;PROLONGEMENT
MATX_TANGENTE_EQUATION;MATC_NOMBRE_DERIVE;MOBILISE
MATX_TANGENTE_EQUATION;MATC_FONCTION_DERIVEE;MOBILISE
MATX_DERIVEE_VITESSE;MATC_TAUX_VARIATION;PREREQUIS
MATX_DERIVEE_VITESSE;MATC_FONCTION_DERIVEE;MOBILISE
MATX_DERIVEE_PARAMETRE;MATC_NOMBRE_DERIVE;MOBILISE
MATX_DERIVEE_PARAMETRE;MATC_FONCTION_DERIVEE;MOBILISE
MATX_DERIVEE_EXTREMUM;MATC_VARIATIONS_DERIVEE;MOBILISE
MATX_DERIVEE_EXTREMUM;MATC_FONCTION_DERIVEE;MOBILISE
MATX_DERIVEE_APPROX;MATC_TANGENTE;MOBILISE
MATX_DERIVEE_APPROX;MATC_NOMBRE_DERIVE;MOBILISE
MATX_SUITE_MODELE;MATC_MODELE_DISCRET;MOBILISE
MATX_SUITE_MODELE;MATC_MODE_GENERATION_SUITE;MOBILISE
MATX_SUITE_SEUIL;MATC_SEUIL_SUITE;CENTRAL
MATX_SUITE_GENERATION;MATC_MODE_GENERATION_SUITE;CENTRAL
MATX_SUITE_GENERATION;MATC_SUITE_EXPLICITE;MOBILISE
MATX_SUITE_GENERATION;MATC_SUITE_RECURRENTE;MOBILISE
MATX_SUITE_GENERATION;MATC_TERME_GENERAL_SUITE;MOBILISE
MATX_SUITE_MOTIF;MATC_MODELE_DISCRET;CENTRAL
MATX_SUITE_MOTIF;MATC_MODE_GENERATION_SUITE;MOBILISE
MATX_SUITE_MOTIF;MATC_SUITE_RECURRENTE;MOBILISE
MATX_SUITE_MOTIF;MATC_SUITE_EXPLICITE;MOBILISE
MATX_SUITE_GRAPH;MATC_REPRESENTATION_SUITE;CENTRAL
MATX_SUITE_GRAPH;MATC_SUITE;MOBILISE
MATX_ARITH_TERME;MATC_SUITE_ARITH;CENTRAL
MATX_ARITH_TERME;MATC_RAISON_ARITH;MOBILISE
MATX_ARITH_TERME;MATC_TERME_GENERAL_SUITE;MOBILISE
MATX_ARITH_SOMME;MATC_SOMME_ARITH;CENTRAL
MATX_ARITH_SOMME;MATC_SUITE_ARITH;MOBILISE
MATX_ARITH_SOMME;MATC_RAISON_ARITH;MOBILISE
MATX_GEOM_TERME;MATC_SUITE_GEOM;CENTRAL
MATX_GEOM_TERME;MATC_RAISON_GEOM;MOBILISE
MATX_GEOM_TERME;MATC_TERME_GENERAL_SUITE;MOBILISE
MATX_GEOM_SOMME;MATC_SOMME_GEOM;CENTRAL
MATX_GEOM_SOMME;MATC_SUITE_GEOM;MOBILISE
MATX_GEOM_SOMME;MATC_RAISON_GEOM;MOBILISE
MATX_SUITE_VARIATIONS;MATC_VARIATION_SUITE;CENTRAL
MATX_SUITE_VARIATIONS;MATC_SUITE_ARITH;MOBILISE
MATX_SUITE_VARIATIONS;MATC_SUITE_GEOM;MOBILISE
MATX_SUITE_CROISSANCE_COMPAREE;MATC_MODELE_DISCRET;CENTRAL
MATX_SUITE_CROISSANCE_COMPAREE;MATC_CROISSANCE_LINEAIRE_DISCRETE;MOBILISE
MATX_SUITE_CROISSANCE_COMPAREE;MATC_CROISSANCE_EXP_DISCRETE;MOBILISE
MATX_SUITE_CROISSANCE_COMPAREE;MATC_SUITE_ARITH;MOBILISE
MATX_SUITE_CROISSANCE_COMPAREE;MATC_SUITE_GEOM;MOBILISE
MATX_SUITE_SEUIL_ALGO;MATC_SEUIL_SUITE;CENTRAL
MATX_SUITE_SEUIL_ALGO;MATC_SUITE_RECURRENTE;MOBILISE
MATX_SUITE_SEUIL_ALGO;MATC_LIMITE_SUITE_INTUITIVE;MOBILISE
MATX_SUITE_LIMITE_INTUITIVE;MATC_LIMITE_SUITE_INTUITIVE;CENTRAL
MATX_SUITE_LIMITE_INTUITIVE;MATC_REPRESENTATION_SUITE;MOBILISE
MATX_SUITE_LIMITE_INTUITIVE;MATC_VARIATION_SUITE;MOBILISE
MATX_SUITE_EXPO_PONT;MATC_CROISSANCE_EXP_DISCRETE;CENTRAL
MATX_SUITE_EXPO_PONT;MATC_SUITE_GEOM;MOBILISE
MATX_SUITE_EXPO_PONT;MATC_EXPONENTIELLE;MOBILISE
MATX_SECOND_CHOIX_FORME;MATC_SECOND_DEGRE;CENTRAL
MATX_SECOND_CHOIX_FORME;MATC_FORME_DEVELOPPEE;MOBILISE
MATX_SECOND_CHOIX_FORME;MATC_FORME_CANONIQUE;MOBILISE
MATX_SECOND_CHOIX_FORME;MATC_FORME_FACTORISEE;MOBILISE
MATX_SECOND_SIGNE;MATC_SIGNE_TRINOME;CENTRAL
MATX_SECOND_SIGNE;MATC_RACINE_TRINOME;MOBILISE
MATX_SECOND_SIGNE;MATC_FORME_FACTORISEE;MOBILISE
MATX_SECOND_PARABOLE;MATC_PARABOLE;CENTRAL
MATX_SECOND_PARABOLE;MATC_SOMMET_PARABOLE;MOBILISE
MATX_SECOND_PARABOLE;MATC_FORME_CANONIQUE;MOBILISE
MATX_SECOND_PROBLEME;MATC_SECOND_DEGRE;CENTRAL
MATX_SECOND_PROBLEME;MATC_SIGNE_TRINOME;MOBILISE
MATX_SECOND_PROBLEME;MATC_SOMMET_PARABOLE;MOBILISE
MATX_PS_COORD;MATC_PRODUIT_SCALAIRE;CENTRAL
MATX_PS_COORD;MATC_COORDONNEES_VECTEUR;MOBILISE
MATX_PS_COORD;MATC_ORTHOGONALITE;MOBILISE
MATX_PS_ANGLE;MATC_PRODUIT_SCALAIRE;CENTRAL
MATX_PS_ANGLE;MATC_NORME_VECTEUR;MOBILISE
MATX_PS_ANGLE;MATC_ANGLE_VECTEURS;CENTRAL
MATX_PS_ORTHO;MATC_PRODUIT_SCALAIRE;MOBILISE
MATX_PS_ORTHO;MATC_ORTHOGONALITE;CENTRAL
MATX_PS_NORMAL;MATC_VECTEUR_NORMAL;CENTRAL
MATX_PS_NORMAL;MATC_ORTHOGONALITE;MOBILISE
MATX_PS_NORMAL;MATC_PRODUIT_SCALAIRE;MOBILISE
MATX_PROBA_TABLEAU;MATC_TABLEAU_PROBA;CENTRAL
MATX_PROBA_TABLEAU;MATC_PROBA_CONDITIONNELLE;MOBILISE
MATX_PROBA_TABLEAU;MATC_INTERSECTION_EVENEMENTS;MOBILISE
MATX_PROBA_INVERSE;MATC_PROBA_CONDITIONNELLE;CENTRAL
MATX_PROBA_INVERSE;MATC_ARBRE_PROBA;MOBILISE
MATX_PROBA_INVERSE;MATC_PROBA_TOTALES;MOBILISE
MATX_VA_LOI;MATC_VARIABLE_ALEATOIRE;MOBILISE
MATX_VA_LOI;MATC_LOI_VARIABLE;CENTRAL
MATX_VA_INDICATEURS;MATC_LOI_VARIABLE;MOBILISE
MATX_VA_INDICATEURS;MATC_ESPERANCE;CENTRAL
MATX_VA_INDICATEURS;MATC_VARIANCE;MOBILISE
MATX_VA_INDICATEURS;MATC_ECART_TYPE;MOBILISE
MATX_PROBA_ARBRE;MATC_ARBRE_PROBA;CENTRAL
MATX_PROBA_ARBRE;MATC_PROBA_TOTALES;MOBILISE
MATX_PROBA_INDEP;MATC_PROBA_CONDITIONNELLE;MOBILISE
MATX_VA_JEU;MATC_ESPERANCE;CENTRAL
