lien_id;de;vers;libelle;source_id
ORI_L001;3E;2GT;2de GT / STHR;SRC_EDUSCOL_ORIENTATION_2026
ORI_L002;3E;2PRO;voie professionnelle;SRC_EDUSCOL_ORIENTATION_2026
ORI_L003;3E;CAP;CAP / CAP agricole;SRC_EDUSCOL_ORIENTATION_2026
ORI_L004;2GT;1G;voie générale;SRC_EDUSCOL_ORIENTATION_2026
ORI_L005;2GT;1T;8 séries technologiques;SRC_EDUSCOL_ORIENTATION_2026
ORI_L006;1G;TG;3 spécialités puis 2;SRC_MEN_SPECIALITES_2025
ORI_L007;1T;TT;série technologique;SRC_MEN_ORIENTATION_2GT_2025
ORI_L008;2PRO;BACPRO;cycle professionnel;SRC_EDUSCOL_ORIENTATION_2026
ORI_L009;TG;POSTBAC;Parcoursup / autres admissions;SRC_PARCOURSUP_2026
ORI_L010;TT;POSTBAC;Parcoursup / autres admissions;SRC_PARCOURSUP_2026
ORI_L011;BACPRO;POSTBAC;Parcoursup / insertion;SRC_PARCOURSUP_2026
