programme_id;niveau_id;version_id;date_debut;date_fin
PRG_FRA_C4_2026;5E;2026_2027;2026-09-01;
PRG_FRA_C4_2026;4E;2027_2028;2027-09-01;
PRG_FRA_C4_2026;3E;2028_2029;2028-09-01;
PRG_MAT_C4_2026;5E;2026_2027;2026-09-01;
PRG_MAT_C4_2026;4E;2027_2028;2027-09-01;
PRG_MAT_C4_2026;3E;2028_2029;2028-09-01;
PRG_LVE_COLLEGE_2025;6E;2025_2026;2025-09-01;
PRG_LVE_COLLEGE_2025;5E;2026_2027;2026-09-01;
PRG_LVE_COLLEGE_2025;4E;2027_2028;2027-09-01;
PRG_LVE_COLLEGE_2025;3E;2028_2029;2028-09-01;
PRG_LVR_COLLEGE_2026;6E;2026_2027;2026-09-01;
PRG_LVR_COLLEGE_2026;5E;2026_2027;2026-09-01;
PRG_LVR_COLLEGE_2026;4E;2027_2028;2027-09-01;
PRG_LVR_COLLEGE_2026;3E;2028_2029;2028-09-01;
PRG_HG_C3_2026;6E;2027_2028;2027-09-01;
PRG_EPS_C3_2026;6E;2027_2028;2027-09-01;
PRG_SCI_C3_2026;6E;2027_2028;2027-09-01;
PRG_MAT_C3_2025;6E;2025_2026;2026-08-31;2026-08-31
PRG_EVARS_COLLEGE_2025;6E;2026_2027;2026-09-01;
PRG_EVARS_COLLEGE_2025;5E;2026_2027;2026-09-01;
PRG_EVARS_COLLEGE_2025;4E;2026_2027;2026-09-01;
PRG_EVARS_COLLEGE_2025;3E;2026_2027;2026-09-01;
PRG_SCI_C3_2023;6E;2023_2024;2027-08-31;2027-08-31
PRG_ARTS_PLAST_C4_2020;5E;2026_2027;2026-09-01;
PRG_ARTS_PLAST_C4_2020;4E;2026_2027;2026-09-01;
PRG_ARTS_PLAST_C4_2020;3E;2026_2027;2026-09-01;
PRG_EDUC_MUS_C4_2020;5E;2026_2027;2026-09-01;
PRG_EDUC_MUS_C4_2020;4E;2026_2027;2026-09-01;
PRG_EDUC_MUS_C4_2020;3E;2026_2027;2026-09-01;
PRG_EPS_C4_2020;5E;2026_2027;2026-09-01;
PRG_EPS_C4_2020;4E;2026_2027;2026-09-01;
PRG_EPS_C4_2020;3E;2026_2027;2026-09-01;
PRG_HG_C4_2020;5E;2026_2027;2026-09-01;
PRG_HG_C4_2020;4E;2026_2027;2026-09-01;
PRG_HG_C4_2020;3E;2026_2027;2026-09-01;
PRG_EMC_C4_2020;5E;2026_2027;2026-09-01;
PRG_EMC_C4_2020;4E;2026_2027;2026-09-01;
PRG_EMC_C4_2020;3E;2026_2027;2026-09-01;
PRG_PC_C4_2020;5E;2026_2027;2026-09-01;
PRG_PC_C4_2020;4E;2026_2027;2026-09-01;
PRG_PC_C4_2020;3E;2026_2027;2026-09-01;
PRG_SVT_C4_2020;5E;2026_2027;2026-09-01;
PRG_SVT_C4_2020;4E;2026_2027;2026-09-01;
PRG_SVT_C4_2020;3E;2026_2027;2026-09-01;
PRG_LCA_C4_2020;5E;2026_2027;2026-09-01;
PRG_LCA_C4_2020;4E;2026_2027;2026-09-01;
PRG_LCA_C4_2020;3E;2026_2027;2026-09-01;
PRG_EMI_C4_2020;5E;2026_2027;2026-09-01;
PRG_EMI_C4_2020;4E;2026_2027;2026-09-01;
PRG_EMI_C4_2020;3E;2026_2027;2026-09-01;
PRG_HDA_COLLEGE_2020;5E;2026_2027;2026-09-01;
PRG_HDA_COLLEGE_2020;4E;2026_2027;2026-09-01;
PRG_HDA_COLLEGE_2020;3E;2026_2027;2026-09-01;
PRG_TECH_C4_2024;5E;2026_2027;2026-09-01;
PRG_TECH_C4_2024;4E;2026_2027;2026-09-01;
PRG_TECH_C4_2024;3E;2026_2027;2026-09-01;
PRG_MAT_2GT_2026;2GT;2026_2027;2026-09-01;
PRG_MATH_SCI_1G_2026;1G;2026_2027;2026-09-01;
PRG_MAT_SPEC_1G_2026;1G;2026_2027;2026-09-01;
PRG_MAT_TERM_G_2026;TG;2027_2028;2027-09-01;
PRG_MAT_COMP_2026;TG;2027_2028;2027-09-01;
PRG_MAT_EXP_2026;TG;2027_2028;2027-09-01;
PRG_MAT_1T_2026;1T;2026_2027;2026-09-01;
PRG_MAT_TT_2026;TT;2027_2028;2027-09-01;
PRG_MAT_C3_2025;6E;2026_2027;2026-09-01;2027-08-31
PRG_MAT_TERM_G_2019;TG;2026_2027;2026-09-01;2027-08-31
PRG_MAT_COMP_2019;TG;2026_2027;2026-09-01;2027-08-31
PRG_MAT_EXP_2019;TG;2026_2027;2026-09-01;2027-08-31
PRG_MAT_TT_2019;TT;2026_2027;2026-09-01;2027-08-31
