programme_id;enseignement_id
PRG_FRA_C4_2026;FRA
PRG_MAT_C4_2026;MAT
PRG_LVE_COLLEGE_2025;LVE
PRG_LVR_COLLEGE_2026;LVR
PRG_MAT_2GT_2026;MATH_2GT
PRG_MATH_SCI_1G_2026;ENS_SCI
PRG_MAT_SPEC_1G_2026;MATH_SPEC
PRG_MAT_TERM_G_2026;MATH_TERM_G
PRG_MAT_COMP_2026;MATH_COMPLEMENTAIRES
PRG_MAT_EXP_2026;MATH_EXPERTES
PRG_MAT_1T_2026;MATH_SPEC_TECH
PRG_MAT_TT_2026;MATH_SPEC_TECH
PRG_FRA_C4_2020;FRA
PRG_MAT_C4_2020;MAT
PRG_LVE_C4_2020;LVE
PRG_HG_C4_2020;HG_EMC
PRG_EMC_2024;HG_EMC
PRG_PC_C4_2020;PC
PRG_SVT_C4_2020;SVT
PRG_TECH_C4_2024;TECH
PRG_EPS_C4_2020;EPS
PRG_ARTS_PLAST_C4_2020;ARTS_PLAST
PRG_EDUC_MUS_C4_2020;MUS
PRG_FRA_LYCEE_2019;FRA
PRG_HG_LYCEE_2019;HG_LYCEE
PRG_EMC_LYCEE_2024;EMC_LYCEE
PRG_LVE_LYCEE_2025;LVA_LVB
PRG_EPS_LYCEE_2019;EPS
PRG_PC_2GT_2019;PC_LYCEE
PRG_SVT_2GT_2019;SVT_LYCEE
PRG_SES_2GT_2019;SES
PRG_SNT_2GT_2019;SNT
PRG_ENS_SCI_2019;ENS_SCI
PRG_PHILO_TERM_2019;PHILO
PRG_HGGSP_2019;HGGSP
PRG_HLP_2019;HLP
PRG_LLCER_2019;LLCER
PRG_NSI_2019;NSI
PRG_PC_SPEC_2019;PC_SPEC
PRG_SVT_SPEC_2019;SVT_SPEC
PRG_SI_2019;SI
PRG_SES_SPEC_2019;SES_SPEC
PRG_ARTS_SPEC_2019;ARTS_SPEC
PRG_EPPCS_2021;EPPCS
