item_id;programme_id;parent_item_id;niveau;ordre;type;libelle;description;source_id
ITM_MAT_C4_01;PRG_MAT_C4_2026;;C4;1;DOMAINE;Nombres et calculs;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_02;PRG_MAT_C4_2026;;C4;2;DOMAINE;Espace et géométrie;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_03;PRG_MAT_C4_2026;;C4;3;DOMAINE;Organisation et gestion des données et probabilités;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_04;PRG_MAT_C4_2026;;C4;4;DOMAINE;Proportionnalité et fonctions;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_05;PRG_MAT_C4_2026;;C4;5;DOMAINE;Pensée informatique;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_01;PRG_MAT_C4_2026;ITM_MAT_C4_01;5E;1;THEME;Opérations;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_02;PRG_MAT_C4_2026;ITM_MAT_C4_01;5E;2;THEME;Nombres relatifs;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_03;PRG_MAT_C4_2026;ITM_MAT_C4_01;5E;3;THEME;Nombres rationnels;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_04;PRG_MAT_C4_2026;ITM_MAT_C4_01;5E;4;THEME;Puissances;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_05;PRG_MAT_C4_2026;ITM_MAT_C4_01;5E;5;THEME;Calcul littéral et algébrique;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_06;PRG_MAT_C4_2026;ITM_MAT_C4_01;4E;6;THEME;Opérations sur les nombres relatifs;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_07;PRG_MAT_C4_2026;ITM_MAT_C4_01;4E;7;THEME;Nombres rationnels;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_08;PRG_MAT_C4_2026;ITM_MAT_C4_01;4E;8;THEME;Puissances;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_09;PRG_MAT_C4_2026;ITM_MAT_C4_01;4E;9;THEME;Racine carrée;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_10;PRG_MAT_C4_2026;ITM_MAT_C4_01;4E;10;THEME;Calcul littéral et algébrique;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_11;PRG_MAT_C4_2026;ITM_MAT_C4_01;3E;11;THEME;Nombres rationnels;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_12;PRG_MAT_C4_2026;ITM_MAT_C4_01;3E;12;THEME;Puissances;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_13;PRG_MAT_C4_2026;ITM_MAT_C4_01;3E;13;THEME;Racine carrée;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_14;PRG_MAT_C4_2026;ITM_MAT_C4_01;3E;14;THEME;Multiples et diviseurs;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_01_15;PRG_MAT_C4_2026;ITM_MAT_C4_01;3E;15;THEME;Calcul littéral et algébrique;;SRC_BO_2026_10_MENE2602912A
ITM_MAT_C4_02_01;PRG_MAT_C4_2026;ITM_MAT_C4_02;5E;1;THEME;Repérage sur une droite et dans le plan;;SRC_BO_2026_10_MENE2602912A
