programme_id;item_id;niveau_id;version_id
PRG_MAT_C4_2026;ITM_MAT_C4_01;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_01;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_01;3E;2028_2029
PRG_MAT_C4_2026;ITM_MAT_C4_02;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_02;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_02;3E;2028_2029
PRG_MAT_C4_2026;ITM_MAT_C4_03;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_03;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_03;3E;2028_2029
PRG_MAT_C4_2026;ITM_MAT_C4_04;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_04;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_04;3E;2028_2029
PRG_MAT_C4_2026;ITM_MAT_C4_05;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_05;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_05;3E;2028_2029
PRG_MAT_C4_2026;ITM_MAT_C4_01_01;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_01_02;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_01_03;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_01_04;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_01_05;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_01_06;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_01_07;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_01_08;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_01_09;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_01_10;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_01_11;3E;2028_2029
PRG_MAT_C4_2026;ITM_MAT_C4_01_12;3E;2028_2029
PRG_MAT_C4_2026;ITM_MAT_C4_01_13;3E;2028_2029
PRG_MAT_C4_2026;ITM_MAT_C4_01_14;3E;2028_2029
PRG_MAT_C4_2026;ITM_MAT_C4_01_15;3E;2028_2029
PRG_MAT_C4_2026;ITM_MAT_C4_02_01;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_02_02;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_02_03;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_02_04;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_02_05;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_02_06;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_02_07;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_02_08;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_02_09;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_02_10;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_02_11;4E;2027_2028
PRG_MAT_C4_2026;ITM_MAT_C4_02_12;3E;2028_2029
PRG_MAT_C4_2026;ITM_MAT_C4_02_13;3E;2028_2029
PRG_MAT_C4_2026;ITM_MAT_C4_02_14;3E;2028_2029
PRG_MAT_C4_2026;ITM_MAT_C4_02_15;3E;2028_2029
PRG_MAT_C4_2026;ITM_MAT_C4_03_01;5E;2026_2027
PRG_MAT_C4_2026;ITM_MAT_C4_03_02;5E;2026_2027
