niveau_id;libelle;ordre;cycle_id;voie_id
CM1;"Cours moyen première année";1;C3;
CM2;"Cours moyen deuxième année";2;C3;
6E;"Sixième";3;C3;COLLEGE
5E;"Cinquième";4;C4;COLLEGE
4E;"Quatrième";5;C4;COLLEGE
3E;"Troisième";6;C4;COLLEGE
2GT;"Seconde générale et technologique";7;;LYCEE_GT
1G;"Première générale";8;CYCLE_TERMINAL;VOIE_GENERALE
TG;"Terminale générale";9;CYCLE_TERMINAL;VOIE_GENERALE
1T;"Première technologique";10;CYCLE_TERMINAL;VOIE_TECHNOLOGIQUE
TT;"Terminale technologique";11;CYCLE_TERMINAL;VOIE_TECHNOLOGIQUE
