ressource_id;niveau_id
MATH_TIQUES;6E
MATH_TIQUES;5E
MATH_TIQUES;4E
MATH_TIQUES;3E
MATH_TIQUES;2GT
MATH_TIQUES;1G
MATH_TIQUES;TG
SESAMATH;6E
SESAMATH;5E
SESAMATH;4E
SESAMATH;3E
SESAMATH;2GT
GEOGEBRA;6E
GEOGEBRA;5E
GEOGEBRA;4E
GEOGEBRA;3E
GEOGEBRA;2GT
GEOGEBRA;1G
GEOGEBRA;TG
GEOGEBRA;1T
GEOGEBRA;TT
MATHALEA;6E
MATHALEA;5E
MATHALEA;4E
MATHALEA;3E
MATHALEA;2GT
MATHALEA;1G
MATHALEA;TG
MATHALEA;1T
MATHALEA;TT
APMEP;3E
APMEP;1G
APMEP;TG
APMEP;1T
APMEP;TT
LUMNI;6E
LUMNI;5E
LUMNI;4E
LUMNI;3E
LUMNI;2GT
LUMNI;1G
LUMNI;TG
LUMNI;1T
LUMNI;TT
KHAN;6E
KHAN;5E
KHAN;4E
KHAN;3E
KHAN;2GT
KHAN;1G
KHAN;TG
FRANCE_IOI;6E
FRANCE_IOI;5E
FRANCE_IOI;4E
FRANCE_IOI;3E
FRANCE_IOI;2GT
FRANCE_IOI;1G
FRANCE_IOI;TG
FRANCE_IOI;1T
FRANCE_IOI;TT
