ressource_id;usage_id
MATH_TIQUES;COURS
MATH_TIQUES;EXERCICES
MATH_TIQUES;REVISION
MATH_TIQUES;ALGORITHMIQUE
MATH_TIQUES;APPROFONDISSEMENT
SESAMATH;COURS
SESAMATH;EXERCICES
SESAMATH;REVISION
GEOGEBRA;VISUALISATION
GEOGEBRA;APPROFONDISSEMENT
MATHALEA;EXERCICES
MATHALEA;REVISION
MATHALEA;ANNALES
APMEP;ANNALES
APMEP;APPROFONDISSEMENT
LUMNI;COURS
LUMNI;EXERCICES
LUMNI;REVISION
KHAN;COURS
KHAN;EXERCICES
KHAN;APPROFONDISSEMENT
FRANCE_IOI;ALGORITHMIQUE
FRANCE_IOI;EXERCICES
FRANCE_IOI;APPROFONDISSEMENT
