fiche_id;notion_id;ordre
REV_2GT_LOGIQUE;MAT_VOCABULAIRE_ENSEMBLISTE_ET_LOGIQUE;10
REV_2GT_ALGORITHMIQUE;MAT_VARIABLES_ET_INSTRUCTIONS_ELEMENTAIRES;10
REV_2GT_NOMBRES_ALGEBRE;MAT_ARITHMETIQUE;10
REV_2GT_NOMBRES_ALGEBRE;MAT_NOMBRES_REELS;20
REV_2GT_NOMBRES_ALGEBRE;MAT_CALC_LITT;30
REV_2GT_NOMBRES_ALGEBRE;MAT_EQ1;40
REV_2GT_GEOMETRIE;MAT_VECTEURS_ET_PROBLEMES_DE_GEOMETRIE;10
REV_2GT_GEOMETRIE;MAT_DROITES_DU_PLAN;20
REV_2GT_FONCTIONS;MAT_NOTION_DE_FONCTION;10
REV_2GT_FONCTIONS;MAT_REPRESENTATION_ALGEBRIQUE_ET_GRAPHIQUE_DES_FONCTIONS;20
REV_2GT_FONCTIONS;MAT_VARIATIONS_ET_EXTREMUMS_D_UNE_FONCTION;30
REV_2GT_STAT_PROBA;MAT_INFORMATION_CHIFFREE_ET_STATISTIQUE_DESCRIPTIVE;10
REV_2GT_STAT_PROBA;MAT_POURCENTAGE;20
REV_2GT_STAT_PROBA;MAT_CROISEMENT_DE_DEUX_VARIABLES_QUALITATIVES;30
REV_2GT_STAT_PROBA;MAT_PROBABILITES;40
REV_2GT_ESSENTIEL;MAT_CALC_LITT;10
REV_2GT_ESSENTIEL;MAT_EQ1;20
REV_2GT_ESSENTIEL;MAT_VECTEURS_ET_PROBLEMES_DE_GEOMETRIE;30
REV_2GT_ESSENTIEL;MAT_DROITES_DU_PLAN;40
REV_2GT_ESSENTIEL;MAT_REPRESENTATION_ALGEBRIQUE_ET_GRAPHIQUE_DES_FONCTIONS;50
REV_2GT_ESSENTIEL;MAT_VARIATIONS_ET_EXTREMUMS_D_UNE_FONCTION;60
REV_2GT_ESSENTIEL;MAT_POURCENTAGE;70
REV_2GT_ESSENTIEL;MAT_PROBABILITES;80
